;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction;zhangs_metric
124;frozenset({'system design'});frozenset({'word processor documents'});0,502;0,851;0,502;1,0;1,1750881316098707;0,07479800000000003;inf;0,2991967871485945
191;frozenset({'authoring'});frozenset({'word'});0,438;0,835;0,438;1,0;1,1976047904191618;0,07227;inf;0,29359430604982206
120;frozenset({'product support'});frozenset({'vampzero element'});0,507;0,633;0,507;1,0;1,5797788309636651;0,18606899999999998;inf;0,7444219066937119
41;frozenset({'isight'});frozenset({'database'});0,623;0,634;0,623;1,0;1,5772870662460567;0,228018;inf;0,9708222811671088
190;frozenset({'authoring'});frozenset({'vampzero element'});0,438;0,633;0,438;1,0;1,5797788309636651;0,160746;inf;0,6530249110320284
9;frozenset({'data storage'});frozenset({'word processor documents'});0,741;0,851;0,74;0,9986504723346828;1,1735023176670774;0,10940899999999998;110,40899999999897;0,5708494208494207
38;frozenset({'vampzero element'});frozenset({'failure management'});0,633;0,752;0,632;0,9984202211690363;1,327686464320527;0,155984;156,9839999999947;0,6725071568999413
44;frozenset({'certification'});frozenset({'word processor documents'});0,623;0,851;0,622;0,9983948635634029;1,173201954833611;0,09182699999999999;92,82700000000071;0,3915963734679778
142;frozenset({'wide body transports'});frozenset({'word processor documents'});0,484;0,851;0,483;0,9979338842975206;1,1726602635693544;0,07111600000000001;72,11599999999831;0,28534514581026216
194;frozenset({'authoring'});frozenset({'word processor documents'});0,438;0,851;0,436;0,9954337899543378;1,1697224323787754;0,06326199999999998;32,63099999999961;0,2581785236214045
42;frozenset({'database'});frozenset({'isight'});0,634;0,623;0,623;0,9826498422712934;1,5772870662460567;0,228018;21,728909090909088;1,0
173;frozenset({'semantic information transferring'});frozenset({'word processor documents'});0,469;0,851;0,45;0,9594882729211088;1,1274832819284475;0,050881000000000065;3,6779473684210613;0,2129357606193767
94;frozenset({'cloud visualization'});frozenset({'word processor documents'});0,558;0,851;0,535;0,9587813620071685;1,1266525993033707;0,06014199999999997;3,6148695652173917;0,25433247346386423
102;frozenset({'mdao'});frozenset({'word processor documents'});0,546;0,851;0,519;0,9505494505494505;1,116979377848943;0,05435400000000001;3,0131111111111086;0,2306791270912379
167;frozenset({'wide body transports'});frozenset({'word'});0,484;0,835;0,458;0,9462809917355373;1,1332706487850746;0,053860000000000074;3,071538461538466;0,22790359161842894
180;frozenset({'ontology modeling'});frozenset({'word processor documents'});0,472;0,851;0,444;0,940677966101695;1,105379513633014;0,04232800000000003;2,5117142857142882;0,1805555555555557
133;frozenset({'knowledge systematisation'});frozenset({'word processor documents'});0,521;0,851;0,49;0,9404990403071016;1,1051692600553487;0,046628999999999976;2,504161290322577;0,19866643943589954
149;frozenset({'product support'});frozenset({'word processor documents'});0,507;0,851;0,476;0,9388560157790926;1,1032385614325413;0,044543;2,4368709677419322;0,1898128419724888
186;frozenset({'semantic information transferring'});frozenset({'multiwordnet'});0,469;0,87;0,44;0,9381663113006398;1,0783520819547583;0,031970000000000054;2,102413793103452;0,13683444615648027
153;frozenset({'product support'});frozenset({'multiwordnet'});0,507;0,87;0,474;0,9349112426035502;1,0746106236822417;0,032909999999999995;1,997272727272724;0,14083241327958507
85;frozenset({'physical sensing'});frozenset({'multiwordnet'});0,58;0,87;0,542;0,9344827586206897;1,0741181133571147;0,0374000000000001;1,9842105263157923;0,16429450008785842
214;frozenset({'training'});frozenset({'multiwordnet'});0,44;0,87;0,41;0,9318181818181818;1,0710553814002088;0,027200000000000002;1,9066666666666654;0,11846689895470384
