,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
391,frozenset({'system specification'}),frozenset({'system definition'}),0.5462686567164179,0.6527363184079602,0.44975124378109455,0.8233151183970857,1.2613288018126085,0.09318185193435807,1.9654408370518552,0.4566255239869586
210,frozenset({'knowledge management'}),frozenset({'knowledge base'}),0.5701492537313433,0.8059701492537313,0.5611940298507463,0.9842931937172775,1.2212526662788443,0.10167075072399201,12.353233830845802,0.42146867612293154
119,frozenset({'knowledge base'}),frozenset({'knowledge engineering'}),0.8059701492537313,0.6696517412935323,0.6527363184079602,0.8098765432098766,1.2093995927576908,0.11301700452959085,1.7375460360534989,0.8923545966228892
120,frozenset({'knowledge engineering'}),frozenset({'knowledge base'}),0.6696517412935323,0.8059701492537313,0.6527363184079602,0.974739970282318,1.2093995927576908,0.11301700452959085,7.681299385425806,0.524123934763444
429,frozenset({'reasoning'}),frozenset({'knowledge base'}),0.4487562189054726,0.8059701492537313,0.4338308457711443,0.9667405764966741,1.1994744189866142,0.07214672904136038,5.833830845771153,0.3016841652038552
496,frozenset({'expert systems'}),frozenset({'knowledge base'}),0.42786069651741293,0.8059701492537313,0.40497512437810945,0.9465116279069767,1.1743755383290266,0.060132174946164685,3.627514600908501,0.25952355517572906
369,frozenset({'creation'}),frozenset({'database'}),0.5532338308457712,0.7134328358208956,0.4606965174129353,0.8327338129496402,1.167221034887571,0.06600133660057916,1.7132402503610968,0.320669402127117
281,frozenset({'information search'}),frozenset({'database'}),0.618905472636816,0.7134328358208956,0.5124378109452736,0.8279742765273311,1.1605497181450037,0.07089032449691834,1.665839029153298,0.3630053993764098
233,frozenset({'system definition'}),frozenset({'system integration'}),0.6527363184079602,0.7223880597014926,0.545273631840796,0.8353658536585366,1.156394880064503,0.07374470928937399,1.6862354892205633,0.3894547507999915
469,frozenset({'link analysis'}),frozenset({'add'}),0.4427860696517413,0.8189054726368159,0.41691542288557215,0.9415730337078653,1.1497945308340274,0.05431548724041485,3.099502487562195,0.23380497783839077
287,frozenset({'creation'}),frozenset({'knowledge base'}),0.5532338308457712,0.8059701492537313,0.5104477611940299,0.9226618705035972,1.1447841726618706,0.06455780797505017,2.508851093370359,0.2830852186144651
490,frozenset({'link analysis'}),frozenset({'knowledge base'}),0.4427860696517413,0.8059701492537313,0.40696517412935324,0.9191011235955057,1.1403662089055349,0.05009281948466626,2.3984245439469336,0.22090027942717447
461,frozenset({'system identification'}),frozenset({'knowledge base'}),0.4577114427860697,0.8059701492537313,0.4199004975124378,0.917391304347826,1.1382447665056359,0.05099873765500851,2.348782403770618,0.2239662594025826
415,frozenset({'decision support'}),frozenset({'database'}),0.5412935323383085,0.7134328358208956,0.4388059701492537,0.8106617647058824,1.1362832266797933,0.05262939036162467,1.5135197797420663,0.26146944678088135
309,frozenset({'decision support'}),frozenset({'knowledge base'}),0.5412935323383085,0.8059701492537313,0.4955223880597015,0.9154411764705882,1.1358251633986929,0.05925595901091557,2.2946138870863066,0.260695711261532
398,frozenset({'xml'}),frozenset({'system integration'}),0.5422885572139303,0.7223880597014926,0.44477611940298506,0.8201834862385321,1.135377966487224,0.0530333407588921,1.543862321047822,0.26050481470674053
244,frozenset({'system definition'}),frozenset({'concept design'}),0.6527363184079602,0.7253731343283583,0.5373134328358209,0.823170731707317,1.1348238482384823,0.06383604366228557,1.5530622748327323,0.3421203438395415
466,frozenset({'data storage'}),frozenset({'access'}),0.4437810945273632,0.8308457711442786,0.417910447761194,0.9417040358744394,1.1334282108428881,0.04919680205935495,2.901645618063526,0.2116449442030837
426,frozenset({'word'}),frozenset({'database'}),0.5383084577114428,0.7134328358208956,0.43482587064676614,0.8077634011090573,1.132220666826503,0.05077894111531889,1.4907003444316875,0.2529393198137771
359,frozenset({'check'}),frozenset({'database'}),0.5771144278606966,0.7134328358208956,0.46567164179104475,0.8068965517241379,1.131005626893666,0.053939258929234346,1.4840085287846476,0.2739064856711912
273,frozenset({'creation'}),frozenset({'access'}),0.5532338308457712,0.8308457711442786,0.5194029850746269,0.9388489208633094,1.1299918149312886,0.05975099626246877,2.766169154228858,0.2574900374608539
212,frozenset({'information search'}),frozenset({'knowledge base'}),0.618905472636816,0.8059701492537313,0.5601990049751244,0.9051446945337621,1.1230498987733715,0.061379668820078725,2.0455350366810032,0.28750771000190145
285,frozenset({'product support'}),frozenset({'knowledge base'}),0.564179104477612,0.8059701492537313,0.5104477611940299,0.9047619047619048,1.1225749559082892,0.055736244152372494,2.037313432835821,0.2505407354001443
484,frozenset({'data storage'}),frozenset({'add'}),0.4437810945273632,0.8189054726368159,0.4079601990049751,0.9192825112107622,1.1225746339815506,0.04454543204376127,2.243559977888333,0.19630873947379895
488,frozenset({'data validation'}),frozenset({'description'}),0.445771144278607,0.8139303482587065,0.40696517412935324,0.9129464285714285,1.1216517857142856,0.04413851142298458,2.137415486669216,0.19569120287253144
284,frozenset({'material'}),frozenset({'concept design'}),0.6278606965174129,0.7253731343283583,0.5104477611940299,0.8129952456418384,1.1207959147737279,0.055014479839607944,1.4685555274475086,0.28961441035744445
249,frozenset({'material'}),frozenset({'review'}),0.6278606965174129,0.7611940298507462,0.5353233830845772,0.8526148969889066,1.1201019234952303,0.057399569317591215,1.6202856684320344,0.28812893863189104
478,frozenset({'link analysis'}),frozenset({'access'}),0.4427860696517413,0.8308457711442786,0.41194029850746267,0.9303370786516854,1.119747022808316,0.04405336501571744,2.4281816722837415,0.19192115251897865
374,frozenset({'word'}),frozenset({'review'}),0.5383084577114428,0.7611940298507462,0.45870646766169154,0.8521256931608133,1.1194592439563626,0.048949283433578405,1.6149253731343287,0.23113172264193296
308,frozenset({'system specification'}),frozenset({'description'}),0.5462686567164179,0.8139303482587065,0.4975124378109453,0.9107468123861567,1.1189493232861705,0.052887799806935476,2.0847395674687803,0.23428947368421052
261,frozenset({'check'}),frozenset({'add'}),0.5771144278606966,0.8189054726368159,0.5283582089552239,0.9155172413793103,1.1179767042359743,0.05575604564243458,2.1435678749111586,0.24954026808463498
449,frozenset({'manufacturing'}),frozenset({'knowledge base'}),0.472636815920398,0.8059701492537313,0.42587064676616915,0.9010526315789473,1.117972709551657,0.044939481695997596,1.9609399809463315,0.2000969846587902
372,frozenset({'detailed design'}),frozenset({'add'}),0.5014925373134328,0.8189054726368159,0.45870646766169154,0.9146825396825398,1.1169574148006713,0.04803148436919885,2.1225963207219736,0.21004844973826778
492,frozenset({'data validation'}),frozenset({'add'}),0.445771144278607,0.8189054726368159,0.40696517412935324,0.9129464285714285,1.1148373763235548,0.041920744536026344,2.080265339966831,0.18585857699077757
