,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
688,frozenset({'product data management system'}),frozenset({'product data management'}),0.4878048780487805,0.5426829268292683,0.4878048780487805,1.0,1.842696629213483,0.223081499107674,inf,0.8928571428571428
687,frozenset({'product data management'}),frozenset({'product data management system'}),0.5426829268292683,0.4878048780487805,0.4878048780487805,0.8988764044943819,1.842696629213483,0.223081499107674,5.065040650406497,1.0000000000000002
721,frozenset({'manufacturing method'}),frozenset({'manufacturing'}),0.4817073170731707,0.6463414634146342,0.4817073170731707,1.0,1.5471698113207546,0.1703599048185604,inf,0.6823529411764706
873,frozenset({'semantic representation'}),frozenset({'ontology'}),0.5060975609756098,0.5914634146341463,0.43902439024390244,0.8674698795180723,1.466650105576947,0.1396861986912552,3.0825942350332602,0.6442043895747599
800,frozenset({'express application'}),frozenset({'express'}),0.4634146341463415,0.7134146341463414,0.4634146341463415,1.0,1.4017094017094018,0.13280785246876864,inf,0.5340909090909092
1050,frozenset({'cad'}),frozenset({'manufacturing'}),0.4573170731707317,0.6463414634146342,0.4024390243902439,0.88,1.3615094339622642,0.10685603807257588,2.9471544715447155,0.4892747701736467
826,frozenset({'reasoning'}),frozenset({'ontology'}),0.5609756097560976,0.5914634146341463,0.45121951219512196,0.8043478260869564,1.3599282832810398,0.11942296252230816,2.0880758807588067,0.602852852852853
1024,frozenset({'product data management system'}),frozenset({'manufacturing'}),0.4878048780487805,0.6463414634146342,0.40853658536585363,0.8374999999999999,1.2957547169811319,0.09324806662700769,2.1763602251407117,0.44562899786780363
843,frozenset({'product data management system'}),frozenset({'product support'}),0.4878048780487805,0.7195121951219512,0.45121951219512196,0.925,1.2855932203389833,0.10023795359904825,3.7398373983739863,0.433719433719434
856,frozenset({'manufacturing method'}),frozenset({'product support'}),0.4817073170731707,0.7195121951219512,0.4451219512195122,0.9240506329113924,1.2842737609954946,0.09852766210588937,3.6930894308943114,0.42707493956486714
1046,frozenset({'difficulty'}),frozenset({'decision support'}),0.49390243902439024,0.6463414634146342,0.4024390243902439,0.8148148148148149,1.2606568832983929,0.08320939916716241,1.9097560975609762,0.4085432639649508
844,frozenset({'product data management'}),frozenset({'material'}),0.5426829268292683,0.6585365853658537,0.4451219512195122,0.8202247191011236,1.2455264253017062,0.0877453896490184,1.8993902439024388,0.4310502283105021
586,frozenset({'manufacturing'}),frozenset({'material'}),0.6463414634146342,0.6585365853658537,0.524390243902439,0.8113207547169812,1.2320055904961564,0.09875074360499703,1.8097560975609759,0.5324779470729751
730,frozenset({'manufacturing method'}),frozenset({'product design'}),0.4817073170731707,0.8353658536585366,0.4817073170731707,1.0,1.197080291970803,0.07930547293277812,inf,0.31764705882352945
542,frozenset({'expert systems'}),frozenset({'knowledge management'}),0.6036585365853658,0.7439024390243902,0.5365853658536586,0.888888888888889,1.1948998178506376,0.0875223081499108,2.304878048780489,0.41153846153846163
729,frozenset({'product data management system'}),frozenset({'product design'}),0.4878048780487805,0.8353658536585366,0.4817073170731707,0.9874999999999999,1.1821167883211678,0.07421177870315288,13.170731707317005,0.3007836045810729
372,frozenset({'system specification'}),frozenset({'system definition'}),0.6951219512195121,0.7439024390243902,0.6097560975609756,0.8771929824561404,1.1791774518262872,0.09265318262938727,2.0853658536585375,0.4983999999999999
