Instance,Min,Max,Mean,Median,Std
system design,0,1227,51.32919254658385,0.0,176.63988619856624
concept design,0,14673,292.9542483660131,4.0,1338.7638300604142
knowledge engineering,0,13841,547.6040268456376,6.0,2034.3960329896895
system integration,0,10231,226.07638888888889,14.5,928.8604733149966
knowledge management,0,157689,2509.099290780142,2.0,14532.285276790704
product design,0,17742,287.97857142857146,3.0,1750.7152720606882
product support,0,11045,592.9785714285714,86.5,1335.1282734942263
product data management,5,42133,1965.9160305343512,457.0,5130.637583756028
decision support,0,20162,976.0472440944882,6.0,2874.95218956006
link analysis,0,24061,1290.217741935484,217.0,2801.501966286045
access product design data,15,115071,3510.3414634146343,1125.0,11150.488431337279
engine analysis,0,4007,191.86776859504133,32.0,513.8623467821664
information search,0,1566,113.78333333333333,26.0,239.97747058607166
knowledge capture,0,21280,1069.9913043478261,28.0,3055.940397482887
knowledge interaction,0,35641,1390.8189655172414,247.0,3986.8316164488533
feature processing,0,75616,5067.0,1059.5,10189.916802229724
configuration management,0,70850,3794.196261682243,434.0,10221.242202283587
semantic representation,0,38981,2186.9150943396226,90.0,6254.855104603423
information classification,0,6738,672.8061224489796,253.5,1154.9568121456746
knowledge classification,0,22234,1535.9255319148936,236.5,3645.9341570348233
data storage,0,12114,680.752688172043,19.0,2025.5774573219987
knowledge base building,5,146917,3911.3297872340427,497.5,16117.724553903248
knowledge storage,0,69604,3513.6923076923076,547.0,9884.041051600354
data visualization,0,13233,721.1,104.5,1687.2328631355083
design space visualization,6,26913,3113.2183908045977,1508.0,4853.03184161754
ground test,0,14519,1959.9444444444443,387.5,3142.907323062203
knowledge exploration,0,177462,4714.676923076923,573.0,22177.527724535583
terminology recognition,1114,188387,48157.42857142857,31279.0,46842.24558540072
product data management system,16,42133,2148.8320610687024,758.0,5094.897103070924
expert systems,0,13298,592.7435897435897,58.0,1529.2879699185307
visualization package,0,141170,19732.431034482757,7005.0,30487.49494131927
knowledge base,0,1271,43.50675675675676,0.0,159.81486318514553
system definition,0,52415,912.4125874125874,78.0,4589.695591972787
section description,0,31342,2408.124031007752,232.0,5071.907400800091
ms word,0,2121,344.7368421052632,102.0,558.8738528321945
system specification,0,11115,369.7704918032787,90.5,1114.8023259818362
resource description,0,44289,4423.432203389831,464.5,9144.422478524415
detailed design,0,12271,613.6379310344828,54.0,1566.802704150606
data validation,0,12417,846.0576923076923,100.5,1835.3191811430506
system identification,0,11780,604.3737373737374,125.0,1530.629207029346
business process integration,6,135741,6530.0,2237.0,18103.999935652428
information sharing,0,36840,991.3734939759037,34.0,4253.370654051116
flight test,0,45229,2383.543209876543,123.0,5941.789947397762
multidisciplinary modeling,0,181994,10403.235294117647,854.5,29263.107284508194
knowledge discovery,0,67744,2556.1666666666665,122.5,9111.345515650011
workflow management,0,18316,1813.4642857142858,262.5,4017.9054332018645
disciplinary analysis,0,15212,1020.0877192982456,10.0,2436.972073504776
problem solving,0,1957,67.35135135135135,0.0,325.55725333783704
design blueprint,0,33187,1680.36,173.0,6456.243371373171
share point,0,35449,3143.042735042735,1220.0,5249.359811831454
file server,0,45241,3284.8507462686566,482.0,6982.761131708534
web server,0,56137,5350.03125,58.5,11541.355734337429
java application,0,13132,1600.888888888889,221.0,3015.7861651654835
workflow systems,0,10456,836.6034482758621,199.5,1650.4916398126823
 engineering java programming,7,124604,10362.23076923077,1125.0,22302.023447018455
knowledge graph,0,46885,773.28125,33.5,4775.691694454508
measurement data,0,18744,773.6142857142858,114.0,2540.3544538557
direct api,3,8742,1046.078431372549,472.0,1612.4281755475188
project planning,0,142783,3795.067415730337,530.0,15467.43572931205
ontology modeling,0,64086,2839.493670886076,103.0,9815.60849867837
express ontology,0,178598,8769.376623376624,175.0,30440.00487825232
conceptual modelling,0,149078,7234.534246575343,750.0,21654.212847149374
ontological engineering,0,11949,1073.2264150943397,107.0,2551.319988669642
enterprise resource planning,9,224877,14860.75,3646.0,35204.715897969276
information clustering,0,9421,1153.7586206896551,653.0,1764.2450696754006
express application,6,42342,1963.9557522123894,498.0,4813.461314885635
multi-agent collaborative system,21,80662,9739.148148148148,4178.5,14796.379747922083
manufacturing method,0,10023,875.8865979381443,240.0,1692.2819698532771
business logic,0,79165,5234.78125,823.0,12067.714425364416
lexical data,0,2889,460.64285714285717,109.0,748.3091995714507
aerospace ontology,0,70008,3224.6593406593406,511.0,8337.539022390556
xml-schema-definition,7,98881,10537.842857142858,1998.0,19904.030495380084
test report,0,75118,4652.4,965.0,10328.775412746494
preliminary design,0,14366,841.5930232558139,1.0,2265.3330079031452
failure management,0,81897,4178.280487804878,572.5,10338.344355199844
life cycle simulation,5,340250,11269.7625,1747.0,38890.19071637594
calculation report,0,63593,8505.698630136987,3985.0,12375.768285197579
flight test report,5,64542,7172.527777777777,3231.5,11673.622791685608
system synthesis,0,8397,517.4428571428572,121.0,1234.49451350646
information push,0,21709,3320.9347826086955,1053.0,5035.306619920604
mdo process formulation,7,184433,16820.24,1624.0,39245.38340572557
learning tools,0,8625,1489.2272727272727,350.0,2305.1784279553594
fortran application,38,6003,1903.5882352941176,452.0,2182.0677203817895
explicit geometry,0,91587,14013.924528301886,3661.0,19833.57518352004
implicit geometry,0,386041,25700.206896551725,7197.0,69710.03049597883
cfd code,0,54412,9578.607142857143,5796.5,13576.101539994266
cfd simulation data,6,47662,5723.827586206897,1365.0,10093.063910835228
live video,0,52805,11663.368421052632,5030.0,14912.986206696096
nasa taxonomy,0,161580,25631.612903225807,5357.0,42731.77278105188
