process,software,data item,data model,data format specification,data visualization,data validation,inference
design,daedalus,,,,,,
design,api,,,,,,
design,flops,,,,,,
design,imagenet,,,,,,
design,whatsopt,,,,,,
design,tigl,,,,,,
design,ideas,,,,,,
design,syndeia,,,,,,
design,reasoner,,,,,,
design,solidedge,,,,,,
design,ug,,,,,,
design,excel,,,,,,
design,optimus,,,,,,
design,saxon,,,,,,
design,davetools,,,,,,
design,janus,,,,,,
design,cfview,,,,,,
design,modelcenter,,,,,,
design,git,,,,,,
design,pest,,,,,,
design,rce,,,,,,
design,brics,,,,,,
design,solidworks,,,,,,
design,oracle,,,,,,
design,eclipse,,,,,,
design,tornado,,,,,,
design,networkx,,,,,,
design,spss,,,,,,
design,sas,,,,,,
design,vivisimo,,,,,,
design,tr,,,,,,
design,kaon,,,,,,
design,fsms,,,,,,
design,tixi,,,,,,
design,multilinq,,,,,,
design,catia,,,,,,
design,word,,,,,,
design,google,,,,,,
design,mopcssoviz,,,,,,
design,sumo,,,,,,
design,prado,,,,,,
design,protégé,,,,,,
design,semsearch,,,,,,
design,access,,,,,,
design,isight,,,,,,
design,texttoonto,,,,,,
design,ceasiom,,,,,,
design,pykechain,,,,,,
design,openmdao,,,,,,
design,outlook,,,,,,
design,aaa,,,,,,
design,proteus,,,,,,
design,wikipedia,,,,,,
design,jade,,,,,,
design,matlab,,,,,,
design,,quantity,,,,,
design,,sweetwiki,,,,,
design,,forms,,,,,
design,,cad,,,,,
design,,ontology,,,,,
design,,image,,,,,
design,,video,,,,,
design,,babelnet,,,,,
design,,assemblies,,,,,
design,,bom,,,,,
design,,documents,,,,,
design,,images,,,,,
design,,difficulty,,,,,
design,,freebase,,,,,
design,,audio,,,,,
design,,ikewiki,,,,,
design,,metadata,,,,,
design,,animation,,,,,
design,,taxonomy,,,,,
design,,material,,,,,
design,,animations,,,,,
design,,description,,,,,
design,,capp,,,,,
design,,,addam,,,,
design,,,codex,,,,
design,,,solr,,,,
design,,,sparql,,,,
design,,,express,,,,
design,,,wordnet,,,,
design,,,uml,,,,
design,,,rvf,,,,
design,,,vba,,,,
design,,,rds,,,,
design,,,openvsp,,,,
design,,,serql,,,,
design,,,cypher,,,,
design,,,multiwordnet,,,,
design,,,sysml,,,,
design,,,nosql,,,,
design,,,cmdows,,,,
design,,,vampzero,,,,
design,,,kadmos,,,,
