,design,development,analysis,processing,review,evaluation,detailed,manufacturing,optimization,creation,check,reasoning,training,failure,acquisition,inference,manufacture,navigation,scheduling,certification,archive,solving,dissemination,plm,recycling,alm,analyzing,crawling,access,word,api,excel,google,matlab,protégé,catia,eclipse,reasoner,tr,outlook,wikipedia,solidworks,oracle,rce,optimus,modelcenter,sas,isight,aaa,flops,brics,git,ideas,prado,ug,pest,description,material,ontology,difficulty,cad,image,quantity,taxonomy,metadata,video,audio,documents,animation,bom,forms,assemblies,images,express,uml,python,sql,sysml,sparql,vba,wordnet,rds,openvsp,cco,step,database,add,xml,owl,rdf,html,pdf,json,cpacs,iges,csv,vrml,stl,igs,mov,tiff,wav
design,0.0,33.816803596788354,35.90589854741368,9.82511012166831,15.685417353062645,15.492823660264508,13.796301268129426,14.69007506680871,14.583809276178204,6.142731830922898,7.428265039663958,6.137751742321092,5.112687897615454,3.560954291475362,4.521546424334292,2.9936697935608896,5.644871762746274,2.0746200454273147,1.8285257742875691,1.1591530884576935,1.0965185941547737,2.6060568733885483,0.2917784438930254,0.3437949333274338,0.23570226039551587,0.020370021093167764,0.21320071635561041,0.04458779620677098,17.273710602145997,8.485204032231328,7.053102207625228,1.1878370751147913,0.4674640792133526,0.8947800279504439,0.14777934069140433,1.112793146133999,0.05914688864289766,0.25,6.9454402179745225,0.17673936225868145,0.11155055061272319,0.044065264923923174,0.12103382367548646,2.4540301003909333,0.13018891098082389,0.06651901052377393,0.06509445549041194,0.07106690545187015,0.36425229903701867,0.023782574707724703,0.02339541354478655,0.5511148040070994,0.02065480961930069,0.12803687993289598,0.8380450906325624,0.19611613513818404,14.68721906457599,11.774287605487018,11.314384626505776,3.0122350097500608,12.94509007689434,2.0249014206325366,0.8414638778847974,1.2633078925096066,0.7329156169924524,0.8563188862100931,0.4400601745628344,2.7889820293988206,0.16483503607062885,0.14824466045020374,1.5782009416149312,0.24428444022409285,0.18873565094161138,8.359681558889868,2.2428843592207044,1.4590472023313548,0.7634959432530248,0.7148581038305735,0.6027545624175431,0.17366474066038556,0.06725550952023159,0.7260179976233374,0.0642824346533225,0.3905778015270741,20.226663394265287,15.459171539103618,25.07569655344822,7.7997500052702735,13.082234904348581,1.7110054559537624,2.1813095571329737,1.4456656897721099,0.40186343676489394,0.2672612419124244,0.1336306209562122,0.07967507280055398,0.14907119849998599,0.30549899128714236,0.04714045207910317,0.4268769481039504,0.10425720702853739,0.05423261445466404
development,33.816803596788354,0.0,16.398759168728525,6.38934183212148,9.284506583027971,8.711440373555378,5.87804116880052,6.727060286225859,5.058098033147903,3.411551017603439,3.7873935184328116,3.8883142880797634,3.2209269598852677,2.2723473437696877,2.6580113659250935,2.3188763681706,2.7060344726094065,1.3611979750875276,0.8454689140152106,0.649211975228037,0.3479765614237804,1.0468224513681597,0.1806367508710559,0.6069198143707838,0.016956460837017517,0.021030505843376807,0.048112522432468816,0.008912953338262313,9.633711065574525,4.48472122210368,6.440493539780678,0.7387231172461471,0.6588837095980109,0.40266947365567507,0.19097244554598364,0.19397848825711392,0.34801427787797234,0.017072205940667412,4.237453468814521,0.08527255451242294,0.16415317752669006,0.22941573387056174,0.01130322396970727,1.6503645061114296,0.03342631352324378,0.02155152393519773,0.03661260129691062,0.017727598712973542,0.13451569575587277,0.00825179134889811,0.04531432544294438,0.30758469781679043,0.2886751345948129,0.03468961565679801,0.7132007163556104,0.03589790793088691,8.34152209355666,4.785088675898342,9.964937955940083,1.74314215467972,5.767415620984119,1.4666574018957308,0.595969778186421,0.7362256429777574,0.7967475550324614,0.5359204622936212,0.159934414380828,1.1901070179837019,0.1442437047014218,0.09242231024924995,1.077219536765384,0.07834503994302297,0.08410444155377927,4.783485884715244,1.2101983057942618,0.9606554785614647,0.1071199427083317,0.3888603255708607,0.4451459579891622,0.03011010318298389,0.08411557990749169,0.29577936753205203,0.00845426042500806,0.44133889786812225,12.827806177818639,8.448760454903143,14.373604682083373,5.161597765197953,9.204758176424757,1.159320943488077,1.5427585211077814,1.0359621004657251,0.25091559915761785,0.16012815380508713,0.027317918235407655,0.06501229653473954,0.2773500981126146,0.43155715307202325,0.05547001962252291,0.28547612602666017,0.026499947000159,0.012884201800751829
analysis,35.90589854741368,16.398759168728525,0.0,7.341230489527032,8.474943800244109,7.377019787659074,9.935866594069038,7.462807648549209,9.021024197591412,3.935307229708611,4.731753699787238,3.4276634187752917,2.6367039338573997,3.613165299169792,3.6797711128128925,2.243232605655707,1.8987693998682407,0.8643618676687232,1.350628610052323,0.7953459681453946,0.5258180219169242,1.528209997969498,0.20822305791310852,0.20392231001661779,0.045360921162651446,0.021739130434782608,0.043314808182421,0.017482090031876642,8.897084894571654,5.0862771776216915,4.2370078621393406,1.3066847834442556,0.33198698142549704,0.8173388984739071,0.055151397339955055,0.15310586628440603,0.09059530004765858,0.015772007446912796,5.2646570984305,0.05792724838804907,0.04191023459718668,0.015903095520751125,0.013131775384373805,1.9391789808986029,0.15249857033260467,0.05716619504750295,0.01212945716253698,0.13018891098082389,0.14931140127933407,0.008867283417529494,0.04962916669854651,0.21234896913229734,0.04032389192727559,0.06984302957695782,0.6767766952966369,0.062257280636469035,7.62455233945961,5.431763419701415,5.67124572480621,1.4251741545255308,5.782245259496607,2.1263309467861475,0.6788580983430341,0.75997323000953,0.32228706216034025,0.6255960562165417,0.1593685165051412,1.610778144710805,0.2193039124707198,0.027259271520808034,0.5366206692243752,0.11129440698713292,0.10984011198421978,4.550465093183686,0.9471895877782103,0.8400871368892086,0.17536829661811135,0.5396263817332898,0.3828839542268228,0.0074202436224698395,0.09392070611394976,0.514776671422334,0.053300179088902604,0.3286707701935355,12.23697915528446,8.19748518417247,15.03134780071576,5.019165708398692,8.01545137661758,1.105790202157746,1.0523850832405535,0.9553373117505866,0.45539186295369916,0.1889822365046136,0.006189726029910493,0.22876365934441234,0.020685720094603028,0.2413323029722308,0.014433756729740642,0.11319806455817401,0.31622776601683794,0.021100615513931942
processing,9.82511012166831,6.38934183212148,7.341230489527032,0.0,2.8550219732807607,2.534075664531921,2.1517866965585624,2.4266939265393153,1.921081307312133,1.4192450399850967,1.6800175233374985,2.4030475394222868,1.521785426207018,0.6821795363057696,1.7614637661586057,1.3152277581005043,0.6989698337169491,0.8862368467651403,0.7537631200258671,0.2048623439132816,0.19193177019017696,1.1293195220384291,0.16869440663698404,0.22213124096342224,0.00881373757351327,0.015012578303701498,0.007582505805903223,0.023274703205786385,5.134252728526694,2.8737810495757024,1.5639134611320125,0.2817348110418354,0.19006974271333477,0.33229992740809244,0.06525556423493233,0.07687233197794732,0.04700692574663422,0.004247826200178356,3.995609025066345,0.034215764707514244,0.09501930541954207,0.004926347471038961,0.02577696311132335,0.5554506829577774,0.03573708449459316,0.04647394123401731,0.015566205714900918,0.025889018653924886,0.00930001218302394,0.022881438097813775,0.0,0.12879141321980792,0.07559289460184544,0.009428928580058928,0.09340872714316512,0.01423929429527935,3.2860075356150777,4.481179689151964,3.561571684165531,0.4735943044536734,1.3803004282715647,1.578599095308465,0.38622013629551266,0.41769675359360603,0.7063228063624104,0.24869092266667947,0.08028576653831165,1.1282515735385632,0.144500983196734,0.08376505138158263,0.5696323750424804,0.13541465163456026,0.05616150320349238,2.730214167867053,0.2384035301827921,0.40758411061446154,0.566727433671988,0.10730894839637889,0.45649992970400755,0.02785310018776764,0.11353101789622459,0.026480812113535625,0.005161019658095524,0.21938316623556142,6.185955154133703,4.506483154076946,6.872117319573629,2.673449885758021,4.333889245125517,0.9811232484581609,0.8192747667879429,0.5781234251153553,0.07220059428504075,0.14586499149789456,0.0,0.02077149083194637,0.11180339887498948,0.13282092279081917,0.0254000254000381,0.25581455721859475,0.01488068876564344,0.003124908451288742
review,15.685417353062645,9.284506583027971,8.474943800244109,2.8550219732807607,0.0,4.035378597144326,3.45107172739319,3.368889100577015,1.9780345804209853,1.3611361942521094,2.644048346081554,1.6338415689964965,1.0110670167086557,0.9720420778626533,0.9940634380465897,1.0862681625501511,0.9263914406320997,0.47371522514195286,0.3709116546618413,0.16140473248674375,0.43249909594930647,0.39548804458370024,0.029901327986286332,0.2976260681006598,0.01742625780188712,0.008424507154420963,0.002161506704505968,0.016122742092498785,4.9303750502955355,2.0434662402325365,1.4627308415322802,0.4471149225388891,0.290503666187197,0.3148715226344953,0.06011441724347766,0.11149237938642245,0.02604922049551816,0.0,2.2519678326909207,0.06100012594195581,0.13918592187174553,0.04343722427630694,0.04588314677411235,0.7827787683874438,0.0,0.0,0.012274790574679981,0.0,0.0,0.004325884325479017,0.0,0.09889681082857438,0.13130643285972254,0.0,0.23907264140433196,0.011354842112585866,3.0364576332738173,3.715146778953975,2.8913029234644636,0.5455996515089164,3.0028672761643787,0.880132437177424,0.2128907400086052,0.3730964986899654,0.3796311024601975,0.6308806155020634,0.11166590999610788,1.2158912935497859,0.06283054673872691,0.0316077633218144,0.18824218550913885,0.014347335194093556,0.08436333273522711,1.8594959746193416,0.34036844778745057,0.21710565601565984,0.07307817836479873,0.06518269426856654,0.17706053350266981,0.02619216160107017,0.02356368148131365,0.1501471451961943,0.0,0.29685222301186165,5.049340418916431,4.755039086207949,6.222783428713138,1.4611344742250973,5.762523847763912,0.4553947601055728,0.634735239310269,0.5579689329444428,0.019012976503386216,0.028988551782622423,0.07715167498104596,0.03067164300566315,0.028138330394167636,0.10910454710494004,0.010120648819158857,0.051447154632435696,0.007029887833762038,0.006513586857199929
evaluation,15.492823660264508,8.711440373555378,7.377019787659074,2.534075664531921,4.035378597144326,0.0,2.2579900711626815,2.7189406514897567,2.672419545872451,1.4604877076878213,1.6152407029351803,1.2078456585267174,2.180379566161738,0.5826184964058408,1.167713722589923,1.1865760760119717,0.7723151170860282,0.6821813695755512,0.5562132300659104,0.2223506570914536,0.18407060408508552,0.5860805506597728,0.017261116460728955,0.11466529569942308,0.008123908423141033,0.003050936506656947,0.2581988897471611,0.04885319687460315,3.3015131174069547,1.4187648525624446,2.552215197238273,0.2568253868290001,0.28835815360323647,0.3236899251771724,0.05069539365489966,0.26259567533879624,0.007424741855494215,0.0,2.2898520295846096,0.04650590572128917,0.018610825278077066,0.013192198857116066,0.0,0.6005449811968261,0.018386578283823053,0.018493168036382727,0.012951021195904704,0.01537733789348698,0.09150391506332611,0.005892351917887074,0.0,0.0746574350663441,0.05423261445466404,0.09245003270420485,0.17490198734213225,0.019904685716450824,3.0289547993481993,2.458236229678965,3.6688338694043194,0.5121529238781664,2.524458570377064,0.6677582899967146,0.2963189832237841,0.4936361517235045,0.19462489779289524,0.19201062918833672,0.11306744933228256,0.2849898549922708,0.053095962673281344,0.07235798466255512,0.164302181866689,0.026650089544451302,0.025278006958277935,1.7511095720704655,0.3348940093268757,0.20920319801081919,0.05040308808753681,0.04813840530072942,0.12161618445393796,0.015837144604852662,0.02077480629531073,0.11624031639696546,0.008768219836196595,0.06868028197434452,5.710918786789722,3.03897883980022,5.019969905749524,1.5455693868796698,3.713825506533711,0.3819096484963963,0.5936809212370213,0.2862320444950815,0.034976197833417835,0.13018891098082389,0.007059781184061312,0.015765550610865812,0.0601929265428846,0.14091478548266093,0.0026593863673947224,0.08490260449633352,0.008272376798005621,0.009195620984470755
detailed,13.796301268129426,5.87804116880052,9.935866594069038,2.1517866965585624,3.45107172739319,2.2579900711626815,0.0,2.023913646438116,1.4256197082802782,1.0982382790265042,1.364650608460665,1.1505594907607546,0.8821639136676676,0.5671119166875673,0.5209310984140056,0.4856173146050143,1.176976543827979,0.27603325706121484,0.5002693895457726,0.2620635743640593,0.12633941592251283,0.323255064649918,0.0563204819775844,0.22692170695554778,0.01699069165076462,0.02049369659597791,0.1796053020267749,0.0044296381053765595,3.9764843093572257,1.1230473687072395,0.9615892890165083,0.19799943014193055,0.05958557599794696,0.169129646594921,0.0884236796705006,0.21012436542569132,0.09245714928101019,0.011138647983852824,1.8560155508604161,0.012516367186910368,0.020562903028816623,0.005049152917868288,0.024433888871261047,1.0605560543390706,0.009851858149475123,0.009868154106955617,0.011750889429104272,0.009295189775552673,0.012828950144769636,0.008859971628644277,0.011906449446326092,0.04744742777953517,0.0,0.013173869985663552,0.09622504486493763,0.026870460745022952,9.017608228030038,1.8800631887810098,1.9433764940338085,0.3402000982519555,1.87659569533408,0.30638557162739916,0.07939101783156581,0.19705187852753933,0.29796633038697834,0.34472514084133954,0.08593789332785515,0.4683580814294493,0.04100069277390821,0.033574223596564465,0.0703180794306937,0.007454388236378752,0.0,2.097744823718088,0.35339043442416285,0.23690487729010548,0.09364138897834462,0.022227987454971655,0.09312985545250903,0.03169842574526843,0.0,0.17246234917706094,0.0028994521857634696,0.0,3.8402413207767903,3.2514736649507157,5.772747093725317,1.4091725917885645,2.6876595192500874,0.20204735908345228,0.32634247677482375,0.09033510622974958,0.11251381480602475,0.1386750490563073,0.01992443047452101,0.03097078560347652,0.3333333333333333,0.0,0.024426598437301574,0.014291548761875737,0.0,0.0
manufacturing,14.69007506680871,6.727060286225859,7.462807648549209,2.4266939265393153,3.368889100577015,2.7189406514897567,2.023913646438116,0.0,2.0900821876540534,1.3044244405496188,1.1566068887532084,1.3600780000825377,1.1764906338289542,0.6412934345921887,1.4273178265099946,0.6464435472734367,2.308996207138505,0.3068166497871175,0.7298180121000386,0.39047446737981906,0.11660549721479845,0.4451146511477154,0.09148198379926548,0.35728822586836495,0.004679082708957309,0.0030859788296776804,0.02703690352179376,0.012588828594761015,3.1294676162047277,1.7985130916138774,1.0183985542476426,0.22979051259065394,0.16195392571590164,0.3110898366212763,0.0020562337898331674,0.19489376088493665,0.03398322934772947,0.0,2.0988663707006823,0.027948412438160403,0.03192487801442956,0.06311944030978031,0.0,0.419423828982688,0.0,0.0,0.0,0.0,0.04778184825674966,0.0,0.013952281087941852,0.02671658425726324,0.01281314380157305,0.0,0.13408347354658892,0.027681826617913324,3.0105896487264534,5.690203356254002,3.1929592857392257,0.519595893290773,3.6376333288892697,0.5358797907827121,0.4940543422045883,0.14937505242733062,0.2478290719341551,0.12282522266668885,0.050053947293437,0.6718363712320036,0.017591865887565235,0.07753554426154055,0.13004234193463288,0.028665182485640765,0.022744902159317754,1.572481523178608,0.4217644531180699,0.06886442860522653,0.049958184406020935,0.03233387587376997,0.1216170894395857,0.0262431940540739,0.0,0.1343348677980217,0.0,0.0,4.130011759413515,2.017539536579204,5.04047272535898,1.0806859879355128,2.608603173232406,0.5311810944419971,0.6257268031124522,0.7453343654235796,0.018944589252161626,0.0,0.0,0.0,0.0377694787300249,0.11299275029585101,0.09284766908852593,0.10351742441613068,0.016367072456887358,0.020166045169934834
optimization,14.583809276178204,5.058098033147903,9.021024197591412,1.921081307312133,1.9780345804209853,2.672419545872451,1.4256197082802782,2.0900821876540534,0.0,0.87615673883465,1.192972048891248,1.287979621347712,0.8485139458014842,0.3945164425770245,0.47614759484047475,0.4871126702938453,0.7563245119221282,0.210474215964484,0.3100410958239591,0.1809305595396999,0.04948574063185015,0.4996900967909414,0.022470563921292007,0.178016742398922,0.0,0.010907648670730682,0.006733128978488732,0.0510976130307596,2.119735951031645,0.8574433558496222,0.8520812192408862,0.23200192145961152,0.0812096866382396,0.2560486204333846,0.00533692095005629,0.065410801062429,0.020577950916837888,0.0,1.3135969072522917,0.05161760599145251,0.0445435403187374,0.04393747751637468,0.01994124416679323,0.5939701003181985,0.12309149097933272,0.0854357657716761,0.013854189967461489,0.09325048082403138,0.09367853108135096,0.015223327833061406,0.004096297064534688,0.09617632173267444,0.018364861234484966,0.10153461651336192,0.0,0.01750618296273089,2.160154971195914,2.09153720032783,0.8337203024178458,0.3966654269565846,2.270515707224627,0.32825687995529085,0.42791938790867656,0.21119556260810174,0.0,0.08198268143504317,0.020107258048324028,0.3137293314315333,0.036970972761353756,0.009424584955753379,0.19520752736837935,0.018643856401935225,0.018572736289716184,1.054145458214564,0.12404951854912585,0.6163335607958409,0.03852338759977762,0.02395339980668365,0.021832187779978623,0.047891116088525844,0.0,0.028016769149156896,0.004883629940787355,0.0,3.729645373855065,2.7383835726695174,3.4910826131486976,1.4218929985662516,2.0163784830447553,0.08669895177755411,0.4773346084909922,0.2239854183287161,0.09637659745055016,0.20851441405707477,0.0,0.0,0.04926646390821466,0.05040023826072888,0.0026127032243687454,0.09467234557657134,0.002444228094569653,0.00169004053855907
creation,6.142731830922898,3.411551017603439,3.935307229708611,1.4192450399850967,1.3611361942521094,1.4604877076878213,1.0982382790265042,1.3044244405496188,0.87615673883465,0.0,0.8570395739138017,0.7336047764482637,0.7502528454503624,0.4258814077825809,0.5787617216293582,0.4089880152561893,0.4175200750567303,0.165449384835633,0.2938177075138258,0.1009096166784209,0.08016888691820673,0.3553280004558633,0.22992523021261027,0.0606334187203633,0.005747790937746929,0.0034836227947389557,0.021354071087949105,0.003869898331946994,2.4896752030857336,1.007690285443276,2.0911173672625796,0.16133819772067287,0.06742938006176082,0.22785333850864176,0.013991831155211933,0.3115846076443701,0.023670311831578736,0.015029524441056943,1.160944511930313,0.010088302221104954,0.017305302744485326,0.00881750566530432,0.008073973509982287,0.6982163832596722,0.026126497213658208,0.026225138878868803,0.010473070393444915,0.01903812393862834,0.014448815426303364,0.006375248838787578,0.008365931017628184,0.11060835856295459,0.0,0.014947031888898777,0.052999894000318,0.0054887089895745015,1.991861007897799,1.0975283283280544,2.9213376838567187,0.3296259865915812,1.248475989795509,0.47257172891925514,0.12724469099214478,0.3345468610094342,0.5377579915602666,0.2424352251612004,0.07774846804457168,0.5266641290637128,0.06856433477717334,0.028884118143201677,0.2616338230101661,0.006703864584590202,0.013088960387126302,1.5019353379066636,0.1492103143107012,0.403759410682501,0.10036579392478559,0.031433195292203425,0.3600863147388887,0.015135886972883327,0.0,0.0,0.004305029209883723,0.11206829229441954,3.281056527083697,3.222634750952461,3.862058926487638,1.1368806143235002,2.4608374756365627,0.6681309853116729,0.3045460013419085,0.22456258889476935,0.17580749762654282,0.0,0.01601076285016887,0.0,0.2886751345948129,0.05280976642852511,0.0021873670317781074,0.03102539597461016,0.007565993739278959,0.0033372847930036175
