Instance,Min,Max,Mean,Median,Std
system design,0,1227,51.75776397515528,0.0,176.8692458896799
concept design,0,15338,401.38775510204084,3.0,1840.3425200604856
knowledge engineering,0,38347,1073.8652482269504,8.0,4709.680464112246
system integration,0,10231,216.70542635658916,14.0,958.8451742930807
knowledge management,0,157689,2296.259842519685,14.0,14280.446657151782
product support,0,11045,540.3923076923077,86.5,1291.1266010507368
product design,0,35093,861.5153846153846,3.5,4087.201111602705
product data management,5,44793,2117.5565217391304,384.0,5519.051254622766
decision support,0,18359,851.2323232323232,5.0,2450.428590952866
link analysis,0,24061,1371.673076923077,217.0,3008.819173064115
access product design data,15,115071,4347.235849056604,1502.5,12270.871549179004
system specification,0,11115,435.4526315789474,91.0,1262.9069038358418
engine analysis,0,1311,125.6086956521739,30.0,249.49938383306937
information search,0,1146,124.20833333333333,35.0,212.30021572580236
knowledge capture,0,36026,1562.0666666666666,27.0,5083.09698860405
detailed design,0,31631,1114.7727272727273,69.5,3752.5218088133524
resource description,0,44289,5152.268292682927,347.0,10464.983648209267
knowledge interaction,0,35641,1558.5057471264367,265.0,4298.882048935122
test report,0,75118,4513.011363636364,1385.5,9976.211843104938
feature processing,0,75616,5716.5375,1051.0,11469.601892550314
configuration management,0,70850,4027.891891891892,503.0,10271.777747616074
semantic representation,0,17565,1496.394366197183,87.0,3324.5849448830313
information classification,0,6738,737.5142857142857,288.5,1259.3815006111663
knowledge classification,0,17997,1435.7313432835822,211.0,3219.8050538099337
knowledge base building,10,146917,4548.357142857143,528.0,18060.986432509886
data visualization,0,12594,691.3207547169811,53.0,1818.1704340641695
mission analysis,0,37251,2065.6666666666665,507.0,5216.031442591293
design space visualization,6,28293,3795.230769230769,1572.5,5814.593072657081
life cycle simulation,6,39479,6107.391304347826,988.5,11128.428014067047
ontology modeling,0,14301,1431.4634146341464,272.0,2789.639395330261
express ontology,2,178598,13015.630434782608,420.0,38531.433556625416
calculation report,0,63593,9844.685714285713,3569.0,15638.443157390662
multidisciplinary modeling,0,181994,15378.714285714286,377.5,40440.96924518249
knowledge exploration,0,38298,2296.3870967741937,362.0,6781.179722644227
knowledge based engineering,6,13841,765.9508196721312,110.0,2302.695636488376
context inference,0,56485,9084.818181818182,3014.0,13795.860091488019
knowledge discovery,0,67744,4623.5,77.5,14320.258614824474
disciplinary analysis,0,15212,1397.6,14.0,3514.6374455032105
descriptive information generation,2446,33286,11793.333333333334,9862.5,8620.5405508523
system arch,0,145,30.6,0.0,56.094919556052496
product data management system,16,44793,2299.9304347826087,701.0,5480.026335578958
share point,0,35449,3124.78021978022,956.0,5627.041197024892
express application,14,42342,2139.8863636363635,519.0,5652.355109380632
cad programming interface,133,278720,15680.233333333334,3274.0,49786.70462260871
data mining,0,6452,765.6857142857143,81.0,1465.16395516345
multi-agent collaborative system,264,60062,10145.714285714286,5109.5,13625.224050208031
web-based decision tool,103,106725,8306.09677419355,2929.0,20378.080170669848
learning tools,0,50315,2554.0,352.0,9108.320947505013
cloud visualization,0,17394,4282.6,2731.5,5153.172657693511
knowledge base,0,8589,117.92086330935251,0.0,764.9010851060266
system definition,0,13017,538.6428571428571,77.5,1617.848500099554
section description,0,27831,2380.5238095238096,227.0,4889.445986914767
knowledge graph,0,46885,1272.1333333333334,72.0,5324.179555366045
measurement data,0,26634,1821.2,143.5,5094.184837635949
cad representation,0,47115,3245.8947368421054,590.0,7074.405048902501
external web page,515,96435,22257.0,7289.0,26516.055519628106
live video,247,93184,21910.0,4982.0,30862.163746424376
aerospace ontology,0,28560,3046.018181818182,577.0,5303.450329707013
nasa taxonomy,0,74942,13145.111111111111,4732.0,22766.638479457633
data storage,0,11650,509.35714285714283,17.5,1789.6180002264991
knowledge storage,0,52664,3875.326923076923,795.0,8851.074417008876
failure management,0,81897,4411.35,267.0,13060.327091137495
general assembly,0,26489,4189.634146341464,1161.0,6272.527839738732
ground test,0,60539,5494.12,964.5,11054.866748432563
share documents,306,285450,21605.125,2343.5,68223.05121060165
file server,0,23864,2560.9285714285716,155.0,5272.511220123342
web server,0,101721,7921.892857142857,39.5,21811.57034259452
design parts,0,17251,1834.967741935484,46.0,4226.283828490394
direct api,7,31592,2262.3783783783783,851.0,5083.964197841868
flat file,0,11314,4692.833333333333,3037.0,4054.3451759261393
data validation,0,16977,1095.753846153846,129.0,2842.4655442375224
system identification,0,11780,630.1754385964912,125.0,1772.5114813950966
business process integration,8,96393,6068.803571428572,2055.5,15333.193750370983
preliminary design,0,14366,855.0444444444445,1.0,2452.9077072419404
information sharing,0,9875,663.9661016949152,86.0,1579.1400895993104
conceptual modelling,0,149078,11704.317073170732,1323.0,28199.8006915972
product verification,0,51338,6018.448275862069,292.0,12647.180638758724
workflow management,0,16569,1529.2727272727273,260.0,3535.624455348192
automated reasoning,0,189451,14325.869565217392,1155.0,39756.79197462267
tooling development,0,635,241.0,61.0,273.7173724848315
terminology recognition,1114,188387,61939.0,52392.0,63903.63547896607
design concepts formalization,467,23419,5934.8,1621.0,8769.929222063312
convert file formats,79,74344,42801.75,48392.0,26900.720086783924
expert systems,0,13298,882.5445544554456,81.0,2269.142641444742
java application,0,4488,985.1,303.5,1401.9691710828263
workflow systems,0,10456,1125.6666666666667,276.0,2317.154085415028
