process,software,data item,data model,data format specification
knowledge based engineering,express application,,,
knowledge based engineering,brics,,,
knowledge based engineering,oracle server,,,
knowledge based engineering,isight,,,
knowledge based engineering,git,,,
knowledge based engineering,aaa,,,
knowledge based engineering,web server,,,
knowledge based engineering,fortran application,,,
knowledge based engineering,matlab,,,
knowledge based engineering,multi-agent collaborative system,,,
knowledge based engineering,triple store,,,
knowledge based engineering,ideas,,,
knowledge based engineering,api,,,
knowledge based engineering,google,,,
knowledge based engineering,pest,,,
knowledge based engineering,web-based decision tool,,,
knowledge based engineering,java application,,,
knowledge based engineering,catia,,,
knowledge based engineering,learning tools,,,
knowledge based engineering,file server,,,
knowledge based engineering,tr,,,
knowledge based engineering,optimus,,,
knowledge based engineering,prado,,,
knowledge based engineering,product data management system,,,
knowledge based engineering,protégé,,,
knowledge based engineering,excel,,,
knowledge based engineering,share point,,,
knowledge based engineering,eclipse,,,
knowledge based engineering,brics technology,,,
knowledge based engineering,solidworks,,,
knowledge based engineering, engineering java programming,,,
knowledge based engineering,outlook,,,
knowledge based engineering,access,,,
knowledge based engineering,visualization package,,,
knowledge based engineering,ke-chain,,,
knowledge based engineering,expert systems,,,
knowledge based engineering,rce,,,
knowledge based engineering,python application,,,
knowledge based engineering,workflow systems,,,
knowledge based engineering,data mining,,,
knowledge based engineering,word,,,
knowledge based engineering,cloud visualization,,,
knowledge based engineering,modelcenter,,,
knowledge based engineering,cad programming interface,,,
knowledge based engineering,oracle,,,
knowledge based engineering,,forms,,
knowledge based engineering,,audio,,
knowledge based engineering,,live video,,
knowledge based engineering,,quantity,,
knowledge based engineering,,tools needed,,
knowledge based engineering,,sysml model,,
knowledge based engineering,,business logic,,
knowledge based engineering,,system definition,,
knowledge based engineering,,material,,
knowledge based engineering,,external web page,,
knowledge based engineering,,tooling parts,,
knowledge based engineering,,measurement data,,
knowledge based engineering,,design parts,,
knowledge based engineering,,description,,
knowledge based engineering,,object definitions,,
knowledge based engineering,,documents,,
knowledge based engineering,,taxonomy,,
knowledge based engineering,,bom,,
knowledge based engineering,,implicit geometry,,
knowledge based engineering,,explicit geometry,,
knowledge based engineering,,metadata,,
knowledge based engineering,,ontology,,
knowledge based engineering,,section description,,
knowledge based engineering,,process definitions,,
knowledge based engineering,,manufacturing method,,
knowledge based engineering,,knowledge base,,
knowledge based engineering,,word doc,,
knowledge based engineering,,cad,,
knowledge based engineering,,animation,,
knowledge based engineering,,cad representation,,
knowledge based engineering,,cfd simulation data,,
knowledge based engineering,,images,,
knowledge based engineering,,image,,
knowledge based engineering,,difficulty,,
knowledge based engineering,,knowledge graph,,
knowledge based engineering,,cfd code,,
knowledge based engineering,,video,,
knowledge based engineering,,mind map,,
knowledge based engineering,,,aerospace ontology,
knowledge based engineering,,,owl dl,
knowledge based engineering,,,uml,
knowledge based engineering,,,sysml ,
knowledge based engineering,,,topic maps,
knowledge based engineering,,,sql,
knowledge based engineering,,,xml-schema-definition,
knowledge based engineering,,,rds,
knowledge based engineering,,,nasa taxonomy,
knowledge based engineering,,,python,
knowledge based engineering,,,sysml,
knowledge based engineering,,,sparql,
knowledge based engineering,,,cco,
knowledge based engineering,,,openvsp,
knowledge based engineering,,,express,
knowledge based engineering,,,vba,
knowledge based engineering,,,,mov
knowledge based engineering,,,,cpacs
knowledge based engineering,,,,ad_asm
knowledge based engineering,,,,direct api
knowledge based engineering,,,,database
knowledge based engineering,,,,ms excel
knowledge based engineering,,,,stl
knowledge based engineering,,,,json
knowledge based engineering,,,,xml
knowledge based engineering,,,,step
knowledge based engineering,,,,pdf
knowledge based engineering,,,,vrml
knowledge based engineering,,,,html
knowledge based engineering,,,,owl
knowledge based engineering,,,,add
knowledge based engineering,,,,flat file
knowledge based engineering,,,,ms word
knowledge based engineering,,,,rdf
knowledge based engineering,,,,csv
business process integration,express application,,,
business process integration,brics,,,
business process integration,oracle server,,,
business process integration,ug,,,
business process integration,git,,,
business process integration,web server,,,
business process integration,fortran application,,,
business process integration,matlab,,,
business process integration,multi-agent collaborative system,,,
business process integration,triple store,,,
business process integration,ideas,,,
business process integration,api,,,
business process integration,google,,,
business process integration,pest,,,
business process integration,web-based decision tool,,,
business process integration,java application,,,
business process integration,catia,,,
business process integration,learning tools,,,
business process integration,file server,,,
business process integration,tr,,,
business process integration,product data management system,,,
business process integration,protégé,,,
business process integration,excel,,,
business process integration,share point,,,
business process integration,eclipse,,,
business process integration,brics technology,,,
business process integration,sas,,,
business process integration,reasoner,,,
business process integration,solidworks,,,
business process integration, engineering java programming,,,
business process integration,outlook,,,
business process integration,access,,,
business process integration,visualization package,,,
business process integration,wikipedia,,,
business process integration,ke-chain,,,
business process integration,expert systems,,,
business process integration,rce,,,
business process integration,python application,,,
business process integration,flops,,,
business process integration,workflow systems,,,
business process integration,data mining,,,
business process integration,word,,,
