;system design;concept design;knowledge engineering;system integration;product design;knowledge management;product support;decision support;link analysis;detailed design;test report;information search;feature processing;resource description;system specification;product data management;knowledge capture;access product design data;system identification;engine analysis;configuration management;data validation;information classification;data storage;knowledge base building;semantic representation;knowledge classification;knowledge storage;project planning;business process integration;failure management;preliminary design;data visualization;information sharing;ground test;calculation report;design space visualization;mission analysis;life cycle simulation;flight test;product verification;knowledge exploration;knowledge discovery;customer service;general assembly;context inference;ontology modeling;conceptual modelling;workflow management;flight test report;system synthesis;multidisciplinary modeling;express ontology;knowledge based engineering;information push;enterprise resource planning;disciplinary analysis;descriptive information generation;physical sensing;ontological engineering;information clustering;automated reasoning;structural solver;manufacturing preparation;problem solving;multimedia document processing;terminology recognition;nation decision;design blueprint;tooling development;share documents;mdo process formulation;generate fem model;semantic lexicon;design concepts formalization;airworthiness test;interest profiling;activity profiling;system architecting;wf execution;convert file formats;accessory manufacture;managing project files;digital mockup;identify different tooling types;engine accessory purchase;semantic information transferring;issue tc pc ac certification;software interlinking;wide body transports;knowlege graph construction;pattern analyis;knowledge systematisation;processe data;product data management system;share point;express application;expert systems;web server;file server;java application;workflow systems;data mining;visualization package;engineering java programming;python application;learning tools;cloud visualization;cad programming interface;triple store;fortran application;oracle server;surrogate model repository;eclipse plugin;inverted index;optimus workflow management tool;brics technology;nextgen avionics systems;vampzero element;jupyter notebook;gkn fokker;electronic bulletin boards;nasa ames function table processor scripts;knowledge mangement tool;cad representation vdsm;software interlinking tools;cpacspy library;qfview web interface;swf software package rce;knowledge base;system definition;section description;measurement data;manufacturing method;external web page;cad representation;mind map;explicit geometry;live video;cfd simulation data;cfd code;implicit geometry;design parts;sysml model;word doc;lexical data;process definitions;object definitions;point clouds;tooling parts;pdf files;word processor documents;tools needed;formatted documents;direct api;ms word;flat file;ms excel;owl dl;topic maps;aerospace ontology;nasa taxonomy;orbital space environment domain ontology;airspace system ontology;bond graphs
Curran et al. - 2010 - The KNOMAD Methodology for Integration of Multidis;0;0;0;0;0;0;0;0;-1;0;-1;0;35360;0;0;0;0;1813;0;0;0;3198;0;11655;1503;0;-1;0;-1;0;0;-1;0;0;0;0;0;0;3999;0;0;-1;-1;0;0;0;0;0;-1;0;-1;2980;0;0;0;-1;0;-1;0;0;-1;0;0;0;0;0;0;0;0;2219;0;0;-1;0;0;-1;-1;0;0;0;0;0;0;0;19409;-1;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;6250;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Heikkinen und Muller - 2015 - Assessment of Multidisciplinary Analysis Systems i;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;-1;1349;0;0;2884;6895;0;0;0;1187;0;0;0;0;0;1534;0;0;0;0;0;0;4160;0;-1;-1;-1;0;0;-1;0;13847;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;-1;0;0;0;-1;0;-1;0;-1;23853;-1;0;-1;-1;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0
Herrero - 2022 - A System Architecture for the Digital Thread in Co;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;1105;0;0;0;0;0;0;0;0;0;0;6351;0;0;0;0;0;0;0;0;0;3817;0;0;0;13914;-1;0;0;0;0;1438;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;-1;-1;0;-1;-1;12087;0;-1;0;-1;31323;-1;0;108424;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;37943;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;-1;0;0;6607;-1;0;0;-1;0;0;0;1646;0;0;0;0;0;0;15300;0;0;35344;0;0;0;0;1015;0;-1;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0
Liu und Hu - 2013 - A reuse oriented representation model for capturin;0;0;0;0;0;0;0;0;0;0;38207;0;0;0;0;0;0;18438;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;-1;0;0;-1;-1;1363;-1;0;0;0;-1;0;-1;0;0;-1;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;-1;-1;0;0;0;0;0;0;-1;-1;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;6871;0;0;2241;0;0;0;0;-1;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0
TOMMASINI - 2013 - Heaven supporting systematic comparative research;0;0;0;0;0;0;1588;4547;0;0;0;0;0;0;0;17930;4608;5466;0;0;43236;0;0;-1;5622;0;1831;0;0;0;-1;0;0;0;0;0;0;0;-1;-1;2467;-1;0;0;0;1009;0;0;1341;-1;0;-1;0;0;0;1571;0;-1;0;13287;0;0;0;0;0;0;0;13176;0;-1;0;-1;-1;0;0;0;-1;-1;0;-1;0;-1;0;-1;0;-1;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57047;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;23156;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1229;-1;1014;0;0;0;0;0;0;0;0;-1;0
Khilwani und Harding - 2016 - Managing corporate memory on the semantic web;0;0;0;0;2652;0;0;0;0;1161;0;0;0;0;-1;1172;0;5164;0;0;-1;-1;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;3101;0;0;-1;-1;0;0;0;0;0;-1;-1;8635;-1;-1;-1;-1;0;0;0;-1;0;0;0;17078;0;0;0;0;0;1164;0;-1;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;0;0;-1;-1;0;-1;-1;-1;-1;0;0;0;2303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8671;-1;0;0;0;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;14239;-1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0
M. Keller - 2019 - Building a Knowledge Graph for the Air Traffic Man;0;0;0;0;0;0;0;0;3497;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;-1;-1;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brennan et al. - 2022 - On the application of population-based structural ;3195;0;0;0;0;0;9767;-1;-1;0;0;0;0;0;0;0;0;2748;0;9260;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;2582;0;0;0;0;0;0;-1;0;-1;0;-1;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0
Rice et al. - 2004 - XTCE A Standard XML-Schema for Describing Mission;0;0;-1;0;0;0;1753;0;0;0;0;2442;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;-1;0;0;0;0;6689;0;0;1451;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;-1;0;0;0;0;0;0;0;4066;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23229;0;0;0;0;0;0;0;0;0;0;-1;0
Hong und Lee - 2015 - An intelligent web digital image metadata service ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
