Instance;Min;Max;Mean;Median;Std
concept design;6;3028;174.65413533834587;11.0;477.4391437835125
decision support;7;137228;2200.0339285714285;43.0;8315.615780217722
feature processing;8;186367;5737.995926680244;1042.0;15189.441697557106
resource description;9;595267;8528.121621621622;779.0;38182.11916049919
knowledge capture;8;247948;4407.399671052632;478.5;15259.508523262244
access product design data;30;167265;4910.173728813559;1752.0;12344.49119604813
business process integration;15;268504;6219.545454545455;1618.0;20434.334480345384
calculation report;12;172277;11212.877805486285;3876.0;20184.609816612974
life cycle simulation;10;171462;12605.75;2408.0;26994.078075824156
general assembly;8;98531;5162.854938271605;1680.5;9176.040543508818
problem solving;7;95759;1968.099290780142;9.0;7662.8889523811
system arch;5;15674;108.4314789687924;13.0;687.4201162813271
design concepts formalization;109;157248;13864.595238095239;5068.5;24569.21393451523
processe data;5;30701;700.9770808202654;66.0;2291.0027941607304
manufacturing method;9;37188;1721.2212765957447;225.0;4730.44227543783
cad representation;10;29949;2929.08;459.0;6408.255481299102
knowledge management;9;40065;1333.9417475728155;139.0;4016.915771304989
link analysis;5;54953;1712.1777777777777;188.0;6668.397198579632
detailed design;6;22100;862.0809248554913;138.0;2170.6906746498594
test report;4;151966;4023.1855287569574;524.0;11390.136276608651
knowledge interaction;10;81496;3321.466911764706;538.0;8294.174183421432
system specification;7;55394;1891.0181818181818;86.0;7876.1848851537225
product data management;13;99381;3562.970099667774;580.0;9132.311931727641
configuration management;10;91923;4671.688172043011;568.0;11153.378615342166
project planning;8;169078;6952.337278106509;820.0;21162.389470036454
product verification;8;161110;6866.847619047619;978.0;17289.613611194414
knowledge exploration;10;55912;4305.027777777777;889.5;9213.097287998064
context inference;8;150177;10345.19313304721;2139.0;21771.89023460279
workflow management;8;57415;3258.9119496855346;398.0;8087.843782421302
flight test report;12;459313;13354.76821192053;4223.5;35097.636703979835
knowledge based engineering;16;64649;2585.426294820717;401.0;7030.8949112140535
automated reasoning;9;348374;18137.310185185186;2038.0;42697.33265555538
manufacturing preparation;14;536914;30984.309278350516;5129.0;79214.50933732932
