,design,system design,development,analysis,concept design,knowledge engineering,processing,review,system integration,evaluation,product design,detailed,information search,product support,engine analysis,knowledge management,manufacturing,optimization,creation,check,reasoning,system specification,training,decision support,failure,acquisition,product data management,knowledge capture,link analysis,detailed design,inference,manufacture,knowledge interaction,navigation,semantic representation,information classification,data validation,knowledge based engineering,resource description,system identification,data storage,information sharing,knowledge classification,mission analysis,scheduling,access product design data,configuration management,certification,test report,data visualization,knowledge base building,feature processing,archive,preliminary design,solving,project planning,system synthesis,dissemination,knowledge storage,ontology modeling,flight test,express ontology,plm,failure management,ground test,disciplinary analysis,life cycle simulation,business process integration,knowledge exploration,design space visualization,product verification,general assembly,conceptual modelling,multidisciplinary modeling,problem solving,workflow management,knowledge discovery,ontological engineering,mdao,calculation report,customer service,automated reasoning,authoring,system arch,context inference,information clustering,flight test report,recycling,information push,tooling development,nation decision,manufacturing preparation,alm,share documents,analyzing,structural solver,generate fem model,crawling,summarizing,enterprise resource planning,mdo process formulation,design blueprint,physical sensing,semantic lexicon,airworthiness test,system architecting,design concepts formalization,convert file formats,digital mockup,issue tc pc ac certification,processe data,access,word,expert systems,api,product data management system,express application,share point,excel,google,matlab,protégé,data mining,catia,eclipse,reasoner,tr,java application,learning tools,file server,web server,outlook,workflow systems,wikipedia,solidworks,oracle,rce,optimus,modelcenter,python application,visualization package,cad programming interface,sas,sumo,tigl,brics,flops,aaa,isight,tixi,spss,openmdao,ceasiom,tornado,git,ideas,prado,cloud visualization,imagenet,triple store,ug,networkx,syndeia,jade,fortran application,oracle server,whatsopt,janus,multilinq,proteus,texttoonto,pykechain,semsearch,brics technology,saxon,fsms,cfview,vivisimo,solidedge,mopcssoviz,daedalus,kaon,davetools,pest,description,knowledge base,system definition,material,ontology,difficulty,knowledge graph,cad,section description,image,quantity,taxonomy,metadata,manufacturing method,video,cad representation,audio,measurement data,design parts,documents,business logic,animation,mind map,bom,forms,explicit geometry,word doc,object definitions,sysml model,process definitions,assemblies,freebase,capp,images,external web page,cfd simulation data,tooling parts,cfd code,lexical data,tools needed,babelnet,implicit geometry,live video,ikewiki,animations,sweetwiki,express,uml,python,aerospace ontology,sql,sysml,sparql,owl dl,vba,wordnet,nosql,cmdows,kadmos,postgresql,rds,bfo,openvsp,cypher,xquery,nasa taxonomy,codex,mdax,rvf,cco,vampzero,topic maps,fortan,dtad,multiwordnet,serql,addam,yawl,step,database,add,xml,owl,rdf,html,pdf,json,direct api,cpacs,ms word,iges,csv,vrml,soap,flash,ms excel,stl,dxf,jpeg,txt,mpeg,parasolid,acis,gif,igs,png,postscript,mov,jpg,dwf,flat file,jpgs,dwg,tiff,wmv,wav,wrp
design,163,161,159,156,141,128,128,126,125,124,122,119,117,114,113,108,106,105,101,100,92,87,87,86,84,78,77,76,75,72,72,70,62,62,57,57,54,53,52,52,52,51,49,49,48,46,44,44,43,43,42,41,39,39,37,32,32,31,30,29,28,28,28,27,26,26,25,24,23,22,21,19,19,19,19,16,15,15,13,12,10,10,9,10,9,8,7,7,6,6,6,5,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,148,102,84,74,69,60,47,40,36,35,27,27,27,25,24,22,22,22,21,21,20,18,17,16,15,14,12,11,10,9,9,9,9,8,7,7,7,7,6,6,6,6,6,6,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,143,138,109,108,96,80,77,75,69,66,65,55,52,49,46,32,26,25,25,25,18,16,12,12,11,9,7,7,6,6,6,5,5,5,3,3,3,2,2,2,2,1,1,1,1,1,117,52,46,34,29,28,26,17,12,10,9,9,8,8,6,6,6,5,5,4,3,2,2,2,2,1,1,1,1,1,1,1,150,138,130,106,61,49,40,32,25,22,21,15,13,13,10,10,9,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1
system design,161,161,157,154,139,127,126,126,123,122,121,117,115,114,112,108,105,103,99,98,91,86,86,86,82,77,76,76,75,71,71,69,61,62,56,56,53,53,52,52,51,51,49,49,47,46,43,43,43,43,42,41,39,39,37,32,32,31,30,29,28,27,27,27,26,26,25,23,23,22,21,19,19,19,19,15,15,15,13,12,10,10,9,10,9,8,7,7,6,6,6,5,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,146,101,84,72,68,60,47,39,35,34,27,27,26,24,23,21,21,22,20,20,19,17,17,16,14,13,11,10,9,9,9,9,9,7,7,6,7,7,5,6,6,5,5,5,5,5,4,4,3,3,3,3,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,141,137,108,106,94,80,76,74,68,66,64,53,51,49,46,32,26,25,24,25,18,16,12,12,11,9,7,6,6,5,6,5,5,5,3,3,3,2,2,2,2,1,1,1,1,1,115,51,44,33,28,28,25,17,12,10,9,9,8,8,6,6,5,5,5,4,3,2,2,2,2,1,1,1,1,1,0,0,148,136,128,104,60,48,40,32,25,21,20,15,12,13,10,10,9,5,4,4,4,4,4,4,3,3,3,2,1,2,2,2,1,1,1,1,1,1,1
development,159,157,160,153,137,125,126,124,123,124,120,115,115,112,111,106,105,103,101,98,91,86,87,85,84,79,76,75,74,71,71,70,60,62,56,57,54,53,52,52,52,50,49,48,47,46,43,44,43,43,42,41,39,39,35,32,32,30,30,29,28,28,27,27,26,26,25,23,22,22,21,18,19,19,18,15,15,15,13,12,10,10,10,10,9,8,7,7,6,6,6,5,5,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,145,100,82,71,68,60,47,40,34,35,27,27,26,25,24,22,21,22,20,20,19,18,16,16,14,14,12,11,10,9,9,9,8,8,7,7,7,7,6,6,6,6,6,6,5,5,4,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,143,135,107,107,94,80,76,74,69,65,65,55,50,49,46,32,26,25,25,25,18,16,12,11,11,9,7,7,6,6,6,4,5,5,3,3,3,2,2,2,2,1,1,1,1,1,114,51,46,33,28,28,26,16,11,9,9,9,8,7,6,6,6,5,5,4,3,2,2,2,2,1,1,1,1,1,1,1,146,134,128,105,60,47,40,32,26,21,21,15,13,13,10,9,9,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1
analysis,156,154,153,156,134,124,126,121,118,120,118,115,113,111,113,106,102,102,98,95,90,84,83,85,82,77,75,76,75,70,70,68,60,59,55,56,54,52,51,51,50,51,47,49,48,45,42,43,41,41,40,40,36,38,36,31,32,31,30,27,28,26,26,27,26,26,25,24,23,21,21,18,19,19,19,15,14,15,13,11,9,10,9,9,8,8,7,7,6,6,6,5,5,4,4,3,3,3,1,2,2,2,2,2,1,1,1,1,1,1,1,142,100,83,71,67,58,46,40,35,35,26,27,26,25,24,21,20,22,20,20,20,18,16,16,14,14,12,11,10,8,9,9,9,8,7,7,7,7,6,6,6,6,6,5,5,5,4,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,137,134,104,105,92,79,75,72,65,66,64,54,50,49,45,32,26,25,23,24,17,15,12,11,11,9,7,7,6,6,6,5,5,5,3,3,3,2,2,2,2,1,1,1,0,1,113,51,44,33,28,28,24,16,11,10,9,9,8,8,6,6,6,5,5,4,3,2,2,2,2,1,1,1,1,1,1,1,144,133,127,100,57,47,38,31,23,22,21,15,13,13,10,9,9,5,5,4,4,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
concept design,141,139,137,134,141,120,114,111,111,111,111,106,103,100,104,95,94,90,91,90,85,80,78,80,70,70,68,73,70,69,68,66,60,56,54,54,50,51,48,50,45,47,47,46,43,43,42,38,38,39,41,40,35,38,33,27,32,27,27,28,24,28,26,19,22,26,23,22,21,20,21,18,19,19,18,16,15,15,10,12,10,10,9,8,9,8,5,7,6,6,5,5,5,4,4,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,130,93,74,59,61,54,42,38,33,33,27,24,26,24,24,21,21,22,19,19,19,18,17,13,13,11,10,10,8,8,8,8,9,7,5,6,6,7,6,6,5,6,4,6,4,4,4,4,2,3,3,3,3,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,126,125,104,97,93,69,74,69,66,58,59,53,45,46,44,29,22,25,24,23,17,15,11,11,10,9,7,7,6,6,4,5,5,4,3,3,3,2,2,2,2,1,1,1,1,1,104,46,35,34,24,23,26,17,11,10,7,6,6,6,5,6,6,4,3,4,2,1,1,2,2,1,1,1,1,1,1,1,130,119,113,92,59,47,34,30,19,17,17,15,12,10,8,7,9,5,5,4,3,4,4,3,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1
knowledge engineering,128,127,125,124,120,128,104,99,101,99,100,96,98,94,96,100,84,83,85,80,80,69,70,78,63,65,62,73,64,60,65,57,59,51,52,52,41,53,46,44,40,49,48,41,39,40,36,34,35,35,41,38,33,33,33,24,28,29,29,28,20,28,23,16,16,26,20,22,23,19,17,15,19,19,19,14,15,15,8,11,9,10,9,10,9,8,5,6,6,6,5,5,5,4,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,118,85,76,57,56,48,42,30,30,25,24,23,21,23,23,19,18,22,14,16,18,17,16,14,8,10,9,6,8,8,8,6,9,7,5,3,5,6,5,5,5,5,4,4,4,3,3,3,3,1,2,2,1,0,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,114,126,90,86,86,65,73,57,61,55,54,47,41,42,43,29,24,22,20,22,17,16,12,9,9,7,7,5,4,5,4,4,4,5,3,2,3,1,2,2,2,0,1,1,1,1,93,42,32,33,21,20,26,17,9,10,6,6,6,6,4,6,5,4,2,3,3,1,1,2,2,1,0,1,1,1,0,1,119,109,104,78,57,47,35,26,18,17,16,15,10,8,9,7,8,3,3,4,4,4,4,4,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1
processing,128,126,126,126,114,104,128,100,98,104,96,97,97,91,97,90,84,84,87,79,79,70,77,72,70,68,61,64,61,60,63,58,56,54,48,49,46,41,43,44,43,40,41,42,46,38,34,35,36,35,37,41,33,30,34,27,25,28,25,25,25,24,24,23,23,22,22,20,19,17,19,14,14,16,19,14,13,13,8,9,8,10,9,9,8,8,6,7,5,6,6,4,5,3,4,2,3,3,2,1,2,2,2,1,1,0,1,1,1,1,0,118,87,67,61,56,48,40,32,33,30,22,26,23,20,22,19,15,21,19,16,17,17,16,15,14,10,9,11,9,7,7,8,8,6,4,6,5,7,5,6,5,4,4,5,5,4,4,4,3,2,2,3,2,2,2,0,1,0,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,114,111,89,92,81,68,67,59,57,57,54,49,45,40,43,24,24,22,22,23,14,16,10,11,10,8,7,6,6,6,6,5,5,5,2,2,3,2,2,2,2,1,1,1,1,1,97,41,39,30,28,22,23,16,9,10,9,5,4,8,4,5,6,5,4,4,3,0,0,2,2,1,1,1,1,1,1,1,118,116,107,83,50,42,37,29,22,19,13,14,12,13,9,9,9,4,5,4,4,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
review,126,126,124,121,111,99,100,126,96,101,98,93,93,93,89,85,88,85,82,83,74,72,77,74,71,68,62,63,60,57,58,63,52,55,47,51,43,43,47,47,37,39,44,44,44,39,34,39,36,33,39,36,36,34,32,28,28,27,23,24,24,24,25,24,21,22,23,20,18,18,18,15,17,16,17,14,12,13,10,11,9,9,7,10,8,8,7,7,5,6,6,4,5,3,3,2,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,122,87,70,62,55,51,39,37,31,32,22,25,23,22,18,18,20,22,20,19,17,14,15,15,13,10,9,9,8,7,8,9,8,7,6,6,6,6,5,6,4,5,5,4,5,4,3,4,3,3,2,3,3,1,2,1,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,0,1,113,108,89,91,75,71,65,61,56,62,53,47,42,40,44,26,25,22,19,22,16,14,11,10,8,9,7,5,5,5,4,4,5,5,2,3,3,2,1,2,2,1,1,1,0,1,95,43,38,26,24,23,19,12,12,8,8,6,5,7,6,6,3,5,3,4,3,1,1,2,1,1,1,1,1,0,0,0,117,106,100,82,50,40,35,30,21,17,15,13,11,11,10,6,9,5,4,4,4,4,3,4,3,3,3,2,1,2,2,2,1,1,1,1,1,1,1
system integration,125,123,123,118,111,101,98,96,125,93,96,92,88,89,85,84,82,80,81,81,70,77,67,68,64,56,63,59,62,61,53,53,52,45,41,47,49,41,40,44,47,40,41,38,34,39,42,33,37,34,34,38,31,36,25,26,27,23,27,26,23,21,24,22,22,24,22,24,19,19,20,19,16,19,14,13,13,12,11,11,9,10,4,7,7,7,6,5,5,6,4,5,4,3,2,2,3,2,3,2,2,2,1,2,1,1,1,1,1,1,0,114,79,67,57,56,50,44,33,25,27,17,20,22,21,19,18,21,19,17,18,16,16,12,11,12,13,12,9,10,7,8,5,7,7,6,5,6,6,6,4,5,6,4,5,5,4,3,3,2,3,3,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,115,108,93,84,74,59,64,61,57,48,50,43,38,39,36,30,18,23,24,21,15,14,9,10,9,9,6,7,6,6,6,2,5,3,2,3,3,2,1,2,1,1,1,0,1,0,90,44,37,23,21,23,20,12,10,6,7,8,7,5,4,4,5,4,5,4,3,1,1,2,2,1,0,1,1,1,1,1,113,104,101,85,49,34,30,25,21,18,18,13,9,10,9,9,8,3,5,4,3,4,3,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1
evaluation,124,122,124,120,111,99,104,101,93,125,97,91,94,89,93,88,90,84,82,82,76,68,76,74,70,65,62,65,58,56,62,60,54,54,45,50,42,44,40,46,44,40,42,41,41,34,39,41,33,35,36,33,33,30,32,30,25,23,27,22,26,21,24,24,21,20,23,19,18,15,18,13,16,17,18,14,13,12,10,11,10,10,10,9,9,8,7,7,5,5,6,5,5,3,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,113,83,67,57,56,50,39,35,30,33,20,23,23,23,18,19,19,20,15,17,17,15,14,12,12,11,10,11,10,7,8,9,8,7,6,7,7,7,6,6,6,4,5,6,5,5,3,3,3,2,3,3,2,2,1,1,2,1,2,2,2,2,0,1,1,0,1,1,1,1,1,1,1,116,105,82,94,74,66,64,61,56,56,54,46,40,43,43,26,24,23,21,20,14,15,11,11,8,7,7,5,5,5,3,5,5,4,2,3,2,2,1,2,2,1,1,1,1,1,93,39,37,26,21,24,18,13,9,7,9,6,5,6,5,5,6,5,4,3,2,1,1,1,2,1,1,1,1,1,1,1,117,110,105,85,47,36,32,27,21,17,16,15,11,12,8,5,7,4,5,3,4,3,4,4,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1
