Instance,Min,Max,Mean,Median,Std
system design,6,1234,58.72670807453416,7.0,176.87841869760277
concept design,6,15346,408.8095238095238,11.0,1840.407601752821
knowledge engineering,10,38359,1084.3262411347519,19.0,4709.898980254779
system integration,7,10238,225.62790697674419,24.0,958.8074154888427
knowledge management,10,157699,2306.503937007874,24.0,14280.43915978921
product support,8,11053,548.3923076923077,94.5,1291.1266010507368
product design,7,35100,869.1692307692308,10.5,4087.1626365383104
product data management,13,44798,2125.7130434782607,395.0,5518.843281081119
decision support,8,18368,859.9494949494949,14.0,2450.3827957962176
link analysis,5,24066,1378.4711538461538,224.0,3008.4254345623635
access product design data,22,115079,4354.028301886792,1509.5,12271.040886680936
system specification,7,11129,445.09473684210525,105.0,1263.6447791476194
engine analysis,6,1320,133.45217391304348,39.0,249.68777872194747
information search,8,1153,133.31666666666666,45.0,212.21192172501108
resource description,9,44301,5162.182926829269,356.0,10465.343924904608
detailed design,8,31640,1122.840909090909,77.5,3752.600791712703
knowledge capture,8,36034,1570.8444444444444,36.0,5083.109463728566
knowledge interaction,10,35653,1569.5632183908046,275.0,4298.976629628892
test report,4,75125,4518.829545454545,1390.5,9976.33442113429
feature processing,11,75624,5725.9625,1062.0,11469.514748283545
configuration management,14,70864,4040.472972972973,515.5,10271.835283293214
semantic representation,9,17574,1508.1267605633802,96.0,3324.454808335369
information classification,13,6753,750.9857142857143,300.5,1259.3659004532756
knowledge classification,10,18012,1448.3283582089553,221.0,3220.0681525561317
knowledge base building,17,146927,4557.042857142857,535.0,18061.175531616915
data visualization,5,12608,700.2075471698113,58.0,1819.4539960429406
mission analysis,7,37259,2074.060606060606,515.5,5215.9815249916455
design space visualization,13,28299,3805.1153846153848,1579.0,5814.4818793378245
life cycle simulation,11,39485,6115.260869565217,996.5,11128.629991924634
ontology modeling,9,14310,1440.4634146341464,281.0,2789.639395330261
express ontology,11,178606,13023.934782608696,428.0,38531.35339953808
calculation report,12,63605,9853.828571428572,3576.0,15638.57465643522
multidisciplinary modeling,13,182012,15390.285714285714,386.5,40441.58478848327
knowledge exploration,10,38310,2307.6129032258063,372.0,6781.352665891101
knowledge based engineering,16,13853,774.9180327868852,116.0,2302.6163472149906
context inference,10,56493,9093.666666666666,3022.0,13795.578856278486
knowledge discovery,10,67754,4633.5,87.5,14320.258614824474
disciplinary analysis,13,15225,1409.4,24.0,3514.472683063563
descriptive information generation,2457,33298,11804.75,9874.0,8620.658580071866
system arch,5,152,37.2,7.0,56.24019914616235
product data management system,24,44798,2307.895652173913,708.0,5479.890283531808
share point,5,35455,3130.7582417582416,962.0,5627.053403646265
express application,25,42350,2149.9772727272725,527.0,5652.081251782939
cad programming interface,137,278732,15688.833333333334,3286.0,49787.250966543186
data mining,5,6459,771.4285714285714,88.0,1465.4831925870396
learning tools,9,50321,2561.448275862069,358.0,9108.097278818888
cloud visualization,6,17400,4290.2,2741.5,5152.293621291395
knowledge base,5,8594,126.20863309352518,10.0,764.6234929484151
system definition,7,13024,547.5238095238095,84.5,1617.8176055997978
section description,8,27839,2390.1238095238095,239.0,4889.190521558735
knowledge graph,6,46895,1280.2888888888888,78.0,5324.254673440623
measurement data,6,26639,1830.3666666666666,155.5,5093.268285906626
cad representation,4,47119,3255.2280701754385,594.0,7073.920377653929
external web page,524,96440,22263.4,7298.0,26515.985082210314
live video,253,93189,21915.666666666668,4988.0,30862.03909155856
aerospace ontology,10,28569,3055.6181818181817,586.0,5303.505291926049
nasa taxonomy,5,74947,13151.888888888889,4741.0,22765.911575786795
data storage,4,11655,514.9285714285714,22.5,1789.544493690492
