process,software,data item,data model,data format specification,data visualization,data validation,inference
evaluation,sas,,,,,,
evaluation,modelcenter,,,,,,
evaluation,catia,,,,,,
evaluation,ug,,,,,,
evaluation,ideas,,,,,,
evaluation,api,,,,,,
evaluation,optimus,,,,,,
evaluation,excel,,,,,,
evaluation,wikipedia,,,,,,
evaluation,tr,,,,,,
evaluation,google,,,,,,
evaluation,eclipse,,,,,,
evaluation,protégé,,,,,,
evaluation,rce,,,,,,
evaluation,matlab,,,,,,
evaluation,word,,,,,,
evaluation,flops,,,,,,
evaluation,aaa,,,,,,
evaluation,isight,,,,,,
evaluation,pest,,,,,,
evaluation,git,,,,,,
evaluation,solidworks,,,,,,
evaluation,access,,,,,,
evaluation,prado,,,,,,
evaluation,outlook,,,,,,
evaluation,,audio,,,,,
evaluation,,animation,,,,,
evaluation,,documents,,,,,
evaluation,,metadata,,,,,
evaluation,,forms,,,,,
evaluation,,cad,,,,,
evaluation,,bom,,,,,
evaluation,,ontology,,,,,
evaluation,,assemblies,,,,,
evaluation,,description,,,,,
evaluation,,video,,,,,
evaluation,,taxonomy,,,,,
evaluation,,image,,,,,
evaluation,,material,,,,,
evaluation,,images,,,,,
evaluation,,difficulty,,,,,
evaluation,,quantity,,,,,
evaluation,,,sql,,,,
evaluation,,,rds,,,,
evaluation,,,sparql,,,,
evaluation,,,wordnet,,,,
evaluation,,,uml,,,,
evaluation,,,python,,,,
evaluation,,,vba,,,,
evaluation,,,cco,,,,
evaluation,,,sysml,,,,
evaluation,,,express,,,,
evaluation,,,openvsp,,,,
evaluation,,,,igs,,,
evaluation,,,,step,,,
evaluation,,,,stl,,,
evaluation,,,,owl,,,
evaluation,,,,json,,,
evaluation,,,,pdf,,,
evaluation,,,,vrml,,,
evaluation,,,,html,,,
evaluation,,,,rdf,,,
evaluation,,,,database,,,
evaluation,,,,iges,,,
evaluation,,,,cpacs,,,
evaluation,,,,mov,,,
evaluation,,,,add,,,
evaluation,,,,tiff,,,
evaluation,,,,csv,,,
evaluation,,,,wav,,,
evaluation,,,,xml,,,
detailed,sas,,,,,,
detailed,modelcenter,,,,,,
detailed,catia,,,,,,
detailed,ug,,,,,,
detailed,api,,,,,,
detailed,optimus,,,,,,
detailed,excel,,,,,,
detailed,reasoner,,,,,,
detailed,oracle,,,,,,
detailed,brics,,,,,,
detailed,wikipedia,,,,,,
detailed,tr,,,,,,
detailed,google,,,,,,
detailed,eclipse,,,,,,
detailed,protégé,,,,,,
detailed,rce,,,,,,
detailed,matlab,,,,,,
detailed,word,,,,,,
detailed,flops,,,,,,
detailed,aaa,,,,,,
detailed,isight,,,,,,
detailed,pest,,,,,,
detailed,git,,,,,,
detailed,solidworks,,,,,,
detailed,access,,,,,,
detailed,prado,,,,,,
detailed,outlook,,,,,,
detailed,,audio,,,,,
detailed,,animation,,,,,
detailed,,documents,,,,,
detailed,,metadata,,,,,
detailed,,forms,,,,,
detailed,,cad,,,,,
detailed,,bom,,,,,
detailed,,ontology,,,,,
detailed,,assemblies,,,,,
detailed,,description,,,,,
detailed,,video,,,,,
detailed,,taxonomy,,,,,
detailed,,image,,,,,
detailed,,material,,,,,
detailed,,difficulty,,,,,
detailed,,quantity,,,,,
detailed,,,sql,,,,
detailed,,,rds,,,,
detailed,,,sparql,,,,
detailed,,,uml,,,,
detailed,,,python,,,,
detailed,,,vba,,,,
detailed,,,sysml,,,,
detailed,,,express,,,,
detailed,,,openvsp,,,,
detailed,,,,igs,,,
detailed,,,,step,,,
detailed,,,,owl,,,
detailed,,,,json,,,
detailed,,,,pdf,,,
detailed,,,,vrml,,,
detailed,,,,html,,,
detailed,,,,rdf,,,
detailed,,,,database,,,
detailed,,,,iges,,,
detailed,,,,cpacs,,,
detailed,,,,mov,,,
detailed,,,,add,,,
detailed,,,,csv,,,
detailed,,,,xml,,,
crawling,api,,,,,,
crawling,excel,,,,,,
crawling,google,,,,,,
crawling,word,,,,,,
crawling,access,,,,,,
crawling,,documents,,,,,
crawling,,cad,,,,,
crawling,,ontology,,,,,
crawling,,description,,,,,
crawling,,video,,,,,
crawling,,image,,,,,
crawling,,difficulty,,,,,
crawling,,,express,,,,
crawling,,,,step,,,
crawling,,,,html,,,
crawling,,,,database,,,
crawling,,,,add,,,
crawling,,,,xml,,,
solving,modelcenter,,,,,,
solving,catia,,,,,,
solving,ug,,,,,,
solving,api,,,,,,
solving,optimus,,,,,,
solving,excel,,,,,,
solving,tr,,,,,,
solving,google,,,,,,
solving,eclipse,,,,,,
solving,rce,,,,,,
solving,matlab,,,,,,
solving,word,,,,,,
solving,aaa,,,,,,
solving,isight,,,,,,
solving,pest,,,,,,
solving,git,,,,,,
solving,access,,,,,,
solving,prado,,,,,,
solving,outlook,,,,,,
solving,,audio,,,,,
solving,,animation,,,,,
solving,,documents,,,,,
solving,,metadata,,,,,
solving,,forms,,,,,
solving,,cad,,,,,
solving,,bom,,,,,
solving,,ontology,,,,,
solving,,description,,,,,
solving,,video,,,,,
solving,,taxonomy,,,,,
solving,,image,,,,,
solving,,material,,,,,
solving,,difficulty,,,,,
solving,,quantity,,,,,
solving,,,sql,,,,
solving,,,rds,,,,
solving,,,sparql,,,,
solving,,,uml,,,,
solving,,,python,,,,
solving,,,vba,,,,
solving,,,sysml,,,,
solving,,,express,,,,
solving,,,openvsp,,,,
solving,,,,step,,,
solving,,,,owl,,,
solving,,,,json,,,
solving,,,,pdf,,,
solving,,,,vrml,,,
solving,,,,html,,,
solving,,,,rdf,,,
solving,,,,database,,,
solving,,,,add,,,
solving,,,,xml,,,
recycling,ug,,,,,,
recycling,api,,,,,,
recycling,wikipedia,,,,,,
recycling,google,,,,,,
recycling,access,,,,,,
recycling,,cad,,,,,
recycling,,description,,,,,
recycling,,image,,,,,
recycling,,material,,,,,
recycling,,,,step,,,
recycling,,,,database,,,
recycling,,,,add,,,
analyzing,api,,,,,,
analyzing,excel,,,,,,
analyzing,word,,,,,,
analyzing,git,,,,,,
analyzing,access,,,,,,
analyzing,,ontology,,,,,
analyzing,,description,,,,,
analyzing,,video,,,,,
analyzing,,image,,,,,
analyzing,,material,,,,,
analyzing,,difficulty,,,,,
analyzing,,,uml,,,,
analyzing,,,python,,,,
analyzing,,,express,,,,
analyzing,,,,step,,,
analyzing,,,,owl,,,
analyzing,,,,json,,,
analyzing,,,,rdf,,,
analyzing,,,,database,,,
analyzing,,,,add,,,
analyzing,,,,xml,,,
scheduling,modelcenter,,,,,,
scheduling,catia,,,,,,
scheduling,api,,,,,,
scheduling,optimus,,,,,,
scheduling,excel,,,,,,
scheduling,reasoner,,,,,,
scheduling,tr,,,,,,
scheduling,google,,,,,,
scheduling,protégé,,,,,,
scheduling,rce,,,,,,
scheduling,matlab,,,,,,
scheduling,word,,,,,,
scheduling,aaa,,,,,,
scheduling,isight,,,,,,
scheduling,pest,,,,,,
scheduling,git,,,,,,
scheduling,solidworks,,,,,,
scheduling,access,,,,,,
scheduling,prado,,,,,,
scheduling,outlook,,,,,,
scheduling,,audio,,,,,
scheduling,,documents,,,,,
scheduling,,metadata,,,,,
scheduling,,forms,,,,,
scheduling,,cad,,,,,
scheduling,,ontology,,,,,
scheduling,,description,,,,,
scheduling,,video,,,,,
scheduling,,taxonomy,,,,,
scheduling,,image,,,,,
scheduling,,material,,,,,
scheduling,,difficulty,,,,,
scheduling,,quantity,,,,,
scheduling,,,sql,,,,
scheduling,,,sparql,,,,
scheduling,,,uml,,,,
scheduling,,,python,,,,
scheduling,,,cco,,,,
scheduling,,,sysml,,,,
scheduling,,,express,,,,
scheduling,,,openvsp,,,,
scheduling,,,,igs,,,
scheduling,,,,step,,,
scheduling,,,,owl,,,
scheduling,,,,json,,,
scheduling,,,,pdf,,,
scheduling,,,,html,,,
scheduling,,,,rdf,,,
scheduling,,,,database,,,
scheduling,,,,add,,,
scheduling,,,,csv,,,
scheduling,,,,xml,,,
design,sas,,,,,,
design,modelcenter,,,,,,
design,catia,,,,,,
design,ug,,,,,,
design,ideas,,,,,,
design,api,,,,,,
design,optimus,,,,,,
design,excel,,,,,,
design,reasoner,,,,,,
design,oracle,,,,,,
design,brics,,,,,,
design,wikipedia,,,,,,
design,tr,,,,,,
design,google,,,,,,
design,eclipse,,,,,,
design,protégé,,,,,,
design,rce,,,,,,
design,matlab,,,,,,
design,word,,,,,,
design,flops,,,,,,
design,aaa,,,,,,
design,isight,,,,,,
design,pest,,,,,,
design,git,,,,,,
design,solidworks,,,,,,
design,access,,,,,,
design,prado,,,,,,
design,outlook,,,,,,
design,,audio,,,,,
design,,animation,,,,,
design,,documents,,,,,
design,,metadata,,,,,
design,,forms,,,,,
design,,cad,,,,,
design,,bom,,,,,
design,,ontology,,,,,
design,,assemblies,,,,,
design,,description,,,,,
design,,video,,,,,
design,,taxonomy,,,,,
design,,image,,,,,
design,,material,,,,,
design,,images,,,,,
design,,difficulty,,,,,
design,,quantity,,,,,
design,,,sql,,,,
design,,,rds,,,,
design,,,sparql,,,,
design,,,wordnet,,,,
design,,,uml,,,,
design,,,python,,,,
