process,software,data item,data model,data format specification,data visualization,data validation,inference
acquisition,saxon,,,,,,
acquisition,aaa,,,,,,
acquisition,access,,,,,,
acquisition,modelcenter,,,,,,
acquisition,reasoner,,,,,,
acquisition,fsms,,,,,,
acquisition,oracle,,,,,,
acquisition,networkx,,,,,,
acquisition,catia,,,,,,
acquisition,outlook,,,,,,
acquisition,flops,,,,,,
acquisition,syndeia,,,,,,
acquisition,api,,,,,,
acquisition,sas,,,,,,
acquisition,tornado,,,,,,
acquisition,tr,,,,,,
acquisition,excel,,,,,,
acquisition,pest,,,,,,
acquisition,ug,,,,,,
acquisition,semsearch,,,,,,
acquisition,rce,,,,,,
acquisition,kaon,,,,,,
acquisition,vivisimo,,,,,,
acquisition,wikipedia,,,,,,
acquisition,optimus,,,,,,
acquisition,solidedge,,,,,,
acquisition,google,,,,,,
acquisition,ideas,,,,,,
acquisition,protégé,,,,,,
acquisition,proteus,,,,,,
acquisition,matlab,,,,,,
acquisition,openmdao,,,,,,
acquisition,brics,,,,,,
acquisition,word,,,,,,
acquisition,tigl,,,,,,
acquisition,spss,,,,,,
acquisition,daedalus,,,,,,
acquisition,ceasiom,,,,,,
acquisition,imagenet,,,,,,
acquisition,isight,,,,,,
acquisition,sumo,,,,,,
acquisition,janus,,,,,,
acquisition,tixi,,,,,,
acquisition,git,,,,,,
acquisition,texttoonto,,,,,,
acquisition,solidworks,,,,,,
acquisition,eclipse,,,,,,
acquisition,prado,,,,,,
acquisition,cfview,,,,,,
acquisition,jade,,,,,,
acquisition,,ikewiki,,,,,
acquisition,,difficulty,,,,,
acquisition,,capp,,,,,
acquisition,,sweetwiki,,,,,
acquisition,,documents,,,,,
acquisition,,image,,,,,
acquisition,,description,,,,,
acquisition,,bom,,,,,
acquisition,,metadata,,,,,
acquisition,,taxonomy,,,,,
acquisition,,forms,,,,,
acquisition,,video,,,,,
acquisition,,freebase,,,,,
acquisition,,babelnet,,,,,
acquisition,,animation,,,,,
acquisition,,images,,,,,
acquisition,,material,,,,,
acquisition,,cad,,,,,
acquisition,,audio,,,,,
acquisition,,assemblies,,,,,
acquisition,,ontology,,,,,
acquisition,,animations,,,,,
acquisition,,quantity,,,,,
acquisition,,,nosql,,,,
acquisition,,,multiwordnet,,,,
acquisition,,,cypher,,,,
acquisition,,,mdax,,,,
acquisition,,,postgresql,,,,
acquisition,,,uml,,,,
acquisition,,,rds,,,,
acquisition,,,sysml,,,,
acquisition,,,serql,,,,
acquisition,,,vba,,,,
acquisition,,,cco,,,,
acquisition,,,bfo,,,,
acquisition,,,sparql,,,,
acquisition,,,express,,,,
acquisition,,,yawl,,,,
acquisition,,,python,,,,
acquisition,,,fortan,,,,
acquisition,,,vampzero,,,,
acquisition,,,xquery,,,,
acquisition,,,wordnet,,,,
acquisition,,,sql,,,,
acquisition,,,addam,,,,
acquisition,,,openvsp,,,,
acquisition,,,codex,,,,
acquisition,,,,postscript,,,
acquisition,,,,html,,,
acquisition,,,,csv,,,
acquisition,,,,gif,,,
acquisition,,,,add,,,
acquisition,,,,vrml,,,
acquisition,,,,dwf,,,
acquisition,,,,jpg,,,
acquisition,,,,png,,,
acquisition,,,,jpeg,,,
acquisition,,,,step,,,
acquisition,,,,json,,,
acquisition,,,,database,,,
acquisition,,,,dwg,,,
acquisition,,,,owl,,,
acquisition,,,,cpacs,,,
acquisition,,,,soap,,,
acquisition,,,,rdf,,,
acquisition,,,,flash,,,
acquisition,,,,parasolid,,,
acquisition,,,,wav,,,
acquisition,,,,pdf,,,
acquisition,,,,tiff,,,
acquisition,,,,mov,,,
acquisition,,,,txt,,,
acquisition,,,,dxf,,,
acquisition,,,,igs,,,
acquisition,,,,iges,,,
acquisition,,,,xml,,,
acquisition,,,,acis,,,
acquisition,,,,mpeg,,,
acquisition,,,,stl,,,
inference,saxon,,,,,,
inference,aaa,,,,,,
inference,access,,,,,,
inference,modelcenter,,,,,,
inference,reasoner,,,,,,
inference,oracle,,,,,,
inference,catia,,,,,,
inference,outlook,,,,,,
inference,flops,,,,,,
inference,syndeia,,,,,,
inference,api,,,,,,
inference,sas,,,,,,
inference,tornado,,,,,,
inference,tr,,,,,,
inference,excel,,,,,,
inference,pest,,,,,,
inference,ug,,,,,,
inference,semsearch,,,,,,
inference,rce,,,,,,
inference,kaon,,,,,,
inference,vivisimo,,,,,,
inference,wikipedia,,,,,,
inference,optimus,,,,,,
inference,google,,,,,,
inference,ideas,,,,,,
inference,protégé,,,,,,
inference,proteus,,,,,,
inference,matlab,,,,,,
inference,openmdao,,,,,,
inference,brics,,,,,,
inference,word,,,,,,
inference,tigl,,,,,,
inference,spss,,,,,,
inference,daedalus,,,,,,
inference,imagenet,,,,,,
inference,isight,,,,,,
inference,sumo,,,,,,
inference,janus,,,,,,
inference,git,,,,,,
inference,texttoonto,,,,,,
inference,solidworks,,,,,,
inference,eclipse,,,,,,
inference,prado,,,,,,
inference,jade,,,,,,
inference,,ikewiki,,,,,
inference,,difficulty,,,,,
inference,,capp,,,,,
inference,,sweetwiki,,,,,
inference,,documents,,,,,
inference,,image,,,,,
inference,,description,,,,,
inference,,bom,,,,,
inference,,metadata,,,,,
inference,,taxonomy,,,,,
inference,,forms,,,,,
inference,,video,,,,,
inference,,freebase,,,,,
inference,,babelnet,,,,,
inference,,animation,,,,,
inference,,images,,,,,
inference,,material,,,,,
inference,,cad,,,,,
inference,,audio,,,,,
inference,,assemblies,,,,,
inference,,ontology,,,,,
inference,,animations,,,,,
inference,,quantity,,,,,
inference,,,nosql,,,,
inference,,,multiwordnet,,,,
inference,,,cypher,,,,
inference,,,postgresql,,,,
inference,,,uml,,,,
inference,,,rds,,,,
inference,,,sysml,,,,
inference,,,kadmos,,,,
inference,,,cmdows,,,,
inference,,,serql,,,,
inference,,,vba,,,,
inference,,,cco,,,,
inference,,,bfo,,,,
inference,,,sparql,,,,
inference,,,express,,,,
inference,,,dtad,,,,
inference,,,yawl,,,,
inference,,,python,,,,
inference,,,fortan,,,,
inference,,,xquery,,,,
inference,,,wordnet,,,,
inference,,,sql,,,,
inference,,,addam,,,,
inference,,,solr,,,,
inference,,,openvsp,,,,
inference,,,codex,,,,
inference,,,,postscript,,,
inference,,,,wmv,,,
inference,,,,html,,,
inference,,,,csv,,,
inference,,,,gif,,,
inference,,,,add,,,
inference,,,,vrml,,,
inference,,,,dwf,,,
inference,,,,jpg,,,
inference,,,,png,,,
inference,,,,jpgs,,,
inference,,,,jpeg,,,
inference,,,,step,,,
inference,,,,json,,,
inference,,,,database,,,
inference,,,,dwg,,,
inference,,,,owl,,,
inference,,,,cpacs,,,
inference,,,,soap,,,
inference,,,,rdf,,,
inference,,,,flash,,,
inference,,,,parasolid,,,
inference,,,,wav,,,
inference,,,,pdf,,,
inference,,,,tiff,,,
inference,,,,mov,,,
inference,,,,txt,,,
inference,,,,dxf,,,
inference,,,,igs,,,
inference,,,,wrp,,,
inference,,,,iges,,,
inference,,,,xml,,,
inference,,,,acis,,,
inference,,,,mpeg,,,
inference,,,,stl,,,
creation,saxon,,,,,,
creation,aaa,,,,,,
creation,access,,,,,,
creation,modelcenter,,,,,,
creation,reasoner,,,,,,
creation,fsms,,,,,,
creation,oracle,,,,,,
creation,networkx,,,,,,
creation,mopcssoviz,,,,,,
creation,catia,,,,,,
creation,outlook,,,,,,
creation,flops,,,,,,
creation,syndeia,,,,,,
creation,api,,,,,,
creation,sas,,,,,,
creation,tornado,,,,,,
creation,tr,,,,,,
creation,excel,,,,,,
creation,pest,,,,,,
creation,ug,,,,,,
creation,semsearch,,,,,,
creation,rce,,,,,,
creation,kaon,,,,,,
creation,whatsopt,,,,,,
creation,vivisimo,,,,,,
creation,wikipedia,,,,,,
creation,optimus,,,,,,
creation,solidedge,,,,,,
creation,google,,,,,,
creation,ideas,,,,,,
creation,protégé,,,,,,
creation,proteus,,,,,,
creation,matlab,,,,,,
creation,openmdao,,,,,,
creation,brics,,,,,,
creation,word,,,,,,
creation,tigl,,,,,,
creation,spss,,,,,,
creation,daedalus,,,,,,
creation,ceasiom,,,,,,
creation,imagenet,,,,,,
creation,pykechain,,,,,,
creation,isight,,,,,,
creation,sumo,,,,,,
creation,janus,,,,,,
creation,tixi,,,,,,
creation,git,,,,,,
creation,texttoonto,,,,,,
creation,solidworks,,,,,,
creation,multilinq,,,,,,
creation,eclipse,,,,,,
creation,prado,,,,,,
creation,cfview,,,,,,
creation,jade,,,,,,
creation,,ikewiki,,,,,
creation,,difficulty,,,,,
creation,,capp,,,,,
creation,,sweetwiki,,,,,
creation,,documents,,,,,
creation,,image,,,,,
creation,,description,,,,,
creation,,bom,,,,,
creation,,metadata,,,,,
creation,,taxonomy,,,,,
creation,,forms,,,,,
creation,,video,,,,,
creation,,freebase,,,,,
creation,,babelnet,,,,,
creation,,animation,,,,,
creation,,images,,,,,
creation,,material,,,,,
creation,,cad,,,,,
creation,,audio,,,,,
creation,,assemblies,,,,,
creation,,ontology,,,,,
creation,,animations,,,,,
creation,,quantity,,,,,
creation,,,nosql,,,,
creation,,,multiwordnet,,,,
creation,,,cypher,,,,
creation,,,mdax,,,,
creation,,,postgresql,,,,
creation,,,rvf,,,,
creation,,,uml,,,,
creation,,,rds,,,,
creation,,,sysml,,,,
creation,,,kadmos,,,,
creation,,,cmdows,,,,
creation,,,serql,,,,
creation,,,vba,,,,
creation,,,cco,,,,
creation,,,bfo,,,,
creation,,,sparql,,,,
creation,,,express,,,,
creation,,,dtad,,,,
creation,,,yawl,,,,
creation,,,python,,,,
creation,,,fortan,,,,
creation,,,vampzero,,,,
creation,,,xquery,,,,
creation,,,wordnet,,,,
creation,,,sql,,,,
creation,,,addam,,,,
creation,,,solr,,,,
creation,,,openvsp,,,,
creation,,,codex,,,,
creation,,,,postscript,,,
creation,,,,wmv,,,
creation,,,,html,,,
creation,,,,csv,,,
creation,,,,gif,,,
creation,,,,add,,,
creation,,,,vrml,,,
creation,,,,dwf,,,
creation,,,,jpg,,,
creation,,,,png,,,
creation,,,,jpgs,,,
creation,,,,jpeg,,,
creation,,,,step,,,
creation,,,,json,,,
creation,,,,database,,,
creation,,,,dwg,,,
creation,,,,owl,,,
creation,,,,cpacs,,,
creation,,,,soap,,,
creation,,,,rdf,,,
creation,,,,flash,,,
creation,,,,parasolid,,,
creation,,,,wav,,,
creation,,,,pdf,,,
creation,,,,tiff,,,
creation,,,,mov,,,
creation,,,,txt,,,
creation,,,,dxf,,,
creation,,,,igs,,,
creation,,,,wrp,,,
creation,,,,iges,,,
creation,,,,xml,,,
creation,,,,acis,,,
creation,,,,mpeg,,,
creation,,,,stl,,,
review,saxon,,,,,,
review,aaa,,,,,,
review,access,,,,,,
review,modelcenter,,,,,,
review,reasoner,,,,,,
review,fsms,,,,,,
review,oracle,,,,,,
review,networkx,,,,,,
review,mopcssoviz,,,,,,
review,catia,,,,,,
review,outlook,,,,,,
review,flops,,,,,,
review,syndeia,,,,,,
review,api,,,,,,
review,sas,,,,,,
review,tornado,,,,,,
review,tr,,,,,,
review,excel,,,,,,
review,pest,,,,,,
review,ug,,,,,,
review,semsearch,,,,,,
review,rce,,,,,,
review,kaon,,,,,,
review,whatsopt,,,,,,
review,vivisimo,,,,,,
review,wikipedia,,,,,,
review,optimus,,,,,,
review,solidedge,,,,,,
review,google,,,,,,
review,ideas,,,,,,
review,protégé,,,,,,
review,proteus,,,,,,
review,matlab,,,,,,
review,openmdao,,,,,,
review,brics,,,,,,
review,word,,,,,,
review,tigl,,,,,,
review,spss,,,,,,
review,daedalus,,,,,,
review,ceasiom,,,,,,
review,imagenet,,,,,,
review,pykechain,,,,,,
review,isight,,,,,,
review,sumo,,,,,,
review,janus,,,,,,
review,tixi,,,,,,
review,git,,,,,,
review,texttoonto,,,,,,
review,solidworks,,,,,,
review,multilinq,,,,,,
review,eclipse,,,,,,
review,prado,,,,,,
review,cfview,,,,,,
review,jade,,,,,,
review,,ikewiki,,,,,
review,,difficulty,,,,,
review,,capp,,,,,
review,,sweetwiki,,,,,
review,,documents,,,,,
review,,image,,,,,
review,,description,,,,,
review,,bom,,,,,
review,,metadata,,,,,
review,,taxonomy,,,,,
review,,forms,,,,,
review,,video,,,,,
review,,freebase,,,,,
review,,babelnet,,,,,
review,,animation,,,,,
review,,images,,,,,
review,,material,,,,,
review,,cad,,,,,
review,,audio,,,,,
review,,assemblies,,,,,
review,,ontology,,,,,
review,,animations,,,,,
review,,quantity,,,,,
review,,,nosql,,,,
review,,,multiwordnet,,,,
review,,,cypher,,,,
review,,,mdax,,,,
review,,,postgresql,,,,
review,,,rvf,,,,
review,,,uml,,,,
review,,,rds,,,,
review,,,sysml,,,,
review,,,kadmos,,,,
review,,,cmdows,,,,
review,,,serql,,,,
review,,,vba,,,,
review,,,cco,,,,
review,,,bfo,,,,
review,,,sparql,,,,
review,,,express,,,,
review,,,dtad,,,,
review,,,yawl,,,,
review,,,python,,,,
review,,,fortan,,,,
review,,,vampzero,,,,
review,,,xquery,,,,
review,,,wordnet,,,,
review,,,sql,,,,
review,,,addam,,,,
review,,,solr,,,,
review,,,openvsp,,,,
review,,,codex,,,,
review,,,,postscript,,,
review,,,,wmv,,,
review,,,,html,,,
review,,,,csv,,,
review,,,,gif,,,
review,,,,add,,,
review,,,,vrml,,,
review,,,,dwf,,,
review,,,,jpg,,,
review,,,,png,,,
review,,,,jpgs,,,
review,,,,jpeg,,,
review,,,,step,,,
review,,,,json,,,
review,,,,database,,,
review,,,,dwg,,,
review,,,,owl,,,
review,,,,cpacs,,,
review,,,,soap,,,
review,,,,rdf,,,
review,,,,flash,,,
review,,,,parasolid,,,
review,,,,wav,,,
review,,,,pdf,,,
review,,,,tiff,,,
review,,,,mov,,,
review,,,,txt,,,
review,,,,dxf,,,
review,,,,igs,,,
review,,,,wrp,,,
review,,,,iges,,,
review,,,,xml,,,
review,,,,acis,,,
review,,,,mpeg,,,
review,,,,stl,,,
reasoning,saxon,,,,,,
reasoning,aaa,,,,,,
reasoning,access,,,,,,
reasoning,modelcenter,,,,,,
reasoning,reasoner,,,,,,
reasoning,fsms,,,,,,
reasoning,oracle,,,,,,
reasoning,networkx,,,,,,
reasoning,catia,,,,,,
reasoning,outlook,,,,,,
reasoning,flops,,,,,,
reasoning,syndeia,,,,,,
reasoning,api,,,,,,
reasoning,sas,,,,,,
reasoning,tornado,,,,,,
reasoning,tr,,,,,,
reasoning,excel,,,,,,
reasoning,pest,,,,,,
reasoning,ug,,,,,,
reasoning,semsearch,,,,,,
reasoning,rce,,,,,,
reasoning,kaon,,,,,,
reasoning,vivisimo,,,,,,
reasoning,wikipedia,,,,,,
reasoning,optimus,,,,,,
reasoning,google,,,,,,
reasoning,ideas,,,,,,
reasoning,protégé,,,,,,
reasoning,proteus,,,,,,
reasoning,matlab,,,,,,
reasoning,openmdao,,,,,,
reasoning,brics,,,,,,
reasoning,word,,,,,,
reasoning,tigl,,,,,,
reasoning,spss,,,,,,
reasoning,daedalus,,,,,,
reasoning,ceasiom,,,,,,
reasoning,imagenet,,,,,,
reasoning,isight,,,,,,
reasoning,sumo,,,,,,
reasoning,janus,,,,,,
reasoning,tixi,,,,,,
reasoning,git,,,,,,
reasoning,texttoonto,,,,,,
reasoning,solidworks,,,,,,
reasoning,multilinq,,,,,,
reasoning,eclipse,,,,,,
reasoning,prado,,,,,,
reasoning,cfview,,,,,,
reasoning,jade,,,,,,
reasoning,,ikewiki,,,,,
reasoning,,difficulty,,,,,
reasoning,,capp,,,,,
reasoning,,sweetwiki,,,,,
reasoning,,documents,,,,,
reasoning,,image,,,,,
reasoning,,description,,,,,
reasoning,,bom,,,,,
reasoning,,metadata,,,,,
reasoning,,taxonomy,,,,,
reasoning,,forms,,,,,
reasoning,,video,,,,,
reasoning,,freebase,,,,,
reasoning,,babelnet,,,,,
