;acquisition;summarizing;scheduling;certification;reasoning;inference;check;development;authoring;navigation;optimization;failure;solving;analyzing;processing;design;detailed;training;plm;analysis;manufacturing;crawling;manufacture;creation;dissemination;recycling;review;alm;evaluation;archive;calculating;spss;fsms;whatsopt;matlab;aaa;wikipedia;solidworks;google;multilinq;tixi;tigl;oracle;prado;optimus;daedalus;excel;ceasiom;api;tr;isight;eclipse;modelcenter;sumo;git;networkx;syndeia;access;reasoner;tornado;pykechain;imagenet;ug;catia;davetools;word;rce;jade;ideas;janus;brics;quantity;taxonomy;images;bom;animations;capp;babelnet;freebase;forms;assemblies;difficulty;sweetwiki;description;cad;material;ontology;video;audio;metadata;documents;image;python;json;png;express;dwg;wav;acis;gif;igs;yawl;wrp;stl;mov;sql;jpg;solr;sysml;mpeg;xquery;postgresql;tiff;database;flash;dwf;owl;uml;add;rds;vampzero;soap;rdf;cco;bfo;xml;rvf;codex;dxf;step;cpacs;csv;multiwordnet;parasolid;cmdows;html;pdf
acquisition;0.0;0.30441438585656144;3.8218283194757556;2.078450948873787;5.923575953741688;4.405016200314068;5.435647245326956;19.457262804621447;0.9757778933467138;3.564133043865161;3.7896689665134047;5.593661368257109;6.602733892144356;2.7874383314915057;19.76834810456579;33.43604479611578;5.583933152141012;4.127539246425853;0.7144239732696633;17.531983643393502;9.649728957925273;0.02436402365513196;2.3298028553022085;2.3765479742352347;0.3769866515925263;0.10818037694810789;1.139321053205901;0.37938349658377796;0.24111687806859378;0.0;0.0;0.2847343964886817;0.021934668687491436;0.0;1.4204357497136715;0.9598912517497236;0.4871827177411465;0.17189888303953946;0.9173243670243545;0.0;0.006082315496537111;0.01564222016576944;0.5046836849574727;0.01735543487617304;0.04745194182882114;0.018112281175195238;0.7045080681353235;0.023583331531828913;3.3165070855441128;5.961771399820875;0.038435508836560134;0.7762988668790337;0.01661890103129981;0.09048268236017509;0.32161926582468847;0.0;0.0;10.604801285727008;0.031634322686213044;0.004606632151553388;0.0;0.008357453858285102;0.2283745060044869;0.0;0.0;8.832072961197362;1.7727287377003176;0.010901813449459119;0.03224129401095805;0.0;0.0;2.23774811987878;2.09591592073151;3.477078489969327;1.1164353522314672;0.11776267936752367;0.4966339250273478;0.02539183580595128;0.02168284449008031;5.7415510876398494;0.2759862142164191;0.32004453040805536;0.021329769189683427;7.522422669405286;6.843478946499526;1.398869846900041;10.07438578407598;3.3311584047150657;0.4501236667051786;0.02460731973438751;5.062022194643853;0.0038160712628960165;1.8394595945261643;0.8599010575121869;0.18788463383165557;3.125870263862639;0.021900478690157085;1.1244681613700707;0.10878118545038072;0.04237616358625732;0.7645159366834784;0.01526940016790202;0.01950685786602176;0.836136537677245;1.9518577592723505;0.2834386506354919;0.0;0.010213124740788105;1.3288174375881503;0.0071871803039238995;0.11814118721376081;0.006507102311215882;0.0;0.3394711507238703;0.0135019077614268;0.0;1.9315527482500747;0.009549395470781244;0.24201655699702027;0.08872002745292148;0.02480104829984994;0.0866242011194988;0.0;0.0;0.4921568002822246;5.525126687595626;0.0;0.014628577924855639;0.004565972047442118;1.147808768486145;0.009658342616078197;0.03327038703087479;0.015605961367365603;0.023925088201495553;0.01046618474484164;0.012833175058483633;0.6120707067871185
summarizing;0.30441438585656144;0.0;0.21953997830819588;0.04263370804447177;0.5609415531338041;0.540461987147608;0.7020449421857334;1.4168749723088363;0.05218835799671921;0.26631816751382403;0.3444212699378052;0.46602688878589504;0.5527200777764577;0.5141946248387044;1.2575894310630842;2.8925122155942407;0.5570042050928753;0.24183352622102042;0.09915519335648892;2.010850442621337;0.4693039591712812;0.0;0.18794631242144008;0.16533099670482296;0.00949934786545102;0.0;0.36886201684302633;0.03332305237642995;0.26718925026474766;0.0;0.0;0.019605700719316534;0.005040870718260002;0.0;0.11292597187670483;0.04294947058805472;0.0475252010008259;0.002749079212669808;0.1827215600858741;0.0;0.002093021444655023;0.005388819666285803;0.013016149495043447;0.0;0.013383037597968404;0.0;0.10364136661030136;0.0;0.22190484435181082;0.5894714327200633;0.0;0.029999253348847087;0.0;0.0037854897124043607;0.09753647289366726;0.0;0.0;0.9599004060895718;0.0;0.0;0.0;0.0;0.009642165981750965;0.0;0.0;1.2306099708345564;0.06827868381863161;0.0;0.0;0.0;0.0;0.23459693653801264;0.7147907277352211;0.31216290075041253;0.10635879672841958;0.0054168509749429865;0.09326432918829915;0.0;0.0;0.8233953489877538;0.023974358431144087;0.027243698051378152;0.0;0.9758464979779214;0.5881767257320037;0.014737674816762034;1.1159510446489003;0.29443037009955975;0.06783513377653454;0.005333504008192437;0.6309193516250122;0.0027777241956519127;0.1797834729641443;0.08825819687982686;0.006641488486262935;0.40664416961476724;0.0;0.09374077276173055;0.009958035656999816;0.01921326939951822;0.10289140966992044;0.0;0.0;0.0960579307333221;0.11124198174780613;0.011760241279623086;0.0021994442266736807;0.0;0.1597870306665328;0.00219896558601148;0.004499030563359142;0.008125383266863186;0.0;0.10024075226882226;0.0;0.0;0.09751556899170573;0.0;0.0;0.04240536931648144;0.0;0.0;0.0;0.0;0.03813733450654785;0.3946563854705829;0.0;0.0;0.0;0.16286012114744947;0.0;0.0;0.0;0.0;0.0;0.0;0.02716603649219996
scheduling;3.8218283194757556;0.21953997830819588;0.0;0.7819042706463629;4.080983396348018;2.2121985024726385;2.841662749046062;9.961163424560821;0.40583776498771046;1.8580939237692689;5.656672272884596;4.58502238937998;4.378454485201719;1.269740474432037;8.981301456615864;19.572767448560914;4.154893771964006;1.121070186517456;0.28389304602110593;11.292226994160517;9.51949547058759;0.023257973625598102;1.189304428005727;0.9147257202150919;0.02536108880981454;0.3712945642811294;0.9824163676773358;0.17354306449492657;0.03432627592637419;0.0;0.0;0.04466751267797031;0.0016902360723204106;0.0;0.4382674568042244;1.0999545035662113;0.2483480912420341;0.06518476886452268;0.5127487467858667;0.0;0.005719517380031825;0.01774961620172465;0.09205240825863582;0.005248494226188475;0.024064453569760565;0.013061019953975416;0.19898909956447486;0.0;1.4873056489947991;4.159514749878858;0.014980537942799493;0.7348464250937577;0.02572283992107146;0.01898608367905338;0.17162707005405384;0.02175970699446223;0.017228580422595965;7.848828160164223;0.05034398093694207;0.003090145740426663;0.0;0.0;0.37044027184928646;0.0;0.0;4.187910879984539;0.44403717571170254;0.010387403147655365;0.0024761959114745417;0.0;0.011637351602893193;1.73518696266689;0.9454197010805856;1.2705465550647883;0.8084963318016873;0.029584082990746573;0.8220250079301994;0.0;0.02643505285727147;3.513244809111854;0.2853871784670538;0.09465561396861476;0.019795189561622396;4.107318607202665;3.2319051839347246;0.9425265244623475;2.7442340818899305;1.4108332006421331;0.1076764728356785;0.020389991218919032;1.9425367681264996;0.00582716546748065;1.0258364506264397;0.5396434531124936;0.06236242831904337;2.0183357408201643;0.0034815953205251248;0.4477735891044923;0.042726851917939776;0.036466550793295374;0.2607435104573824;0.008034007624646419;0.0012892808440036348;0.4817416329217123;1.0338732622025888;0.5363162043987116;0.0;0.016629752630943483;0.47063960001231125;0.01651595799587627;0.059440383654286076;0.007876641081441647;0.037448692291280894;0.44532303194677364;0.03895446935658099;0.0;0.6919955304699105;0.0191116285661153;0.302450225659821;0.16524960641172803;0.0034149986219202716;0.0;0.0;0.0;0.1735429960166737;3.531288293962585;0.0;0.0;0.0659547299866785;0.11597135327482036;0.005945958975819191;0.024235294387660145;0.0;0.009090914407322674;0.011354110179616236;0.0062402853917367775;0.23190366333734316
certification;2.078450948873787;0.04263370804447177;0.7819042706463629;0.0;1.136795608082792;0.7242935874812011;3.0408607304642863;7.751475911386322;0.12055374274103048;0.8854856033929438;1.9014878250414893;2.505772002285573;1.40676558490882;0.7482266047985994;2.7198832338293584;14.012165414851049;2.6507898807606844;1.8345749715211734;0.1656129548665642;6.3016034716097415;3.4369338576595028;0.005795389874938897;3.722833826527903;0.7479167950842793;0.10106351615754841;0.04124071332027679;0.4214758485102203;0.10199856025991405;0.031128640318234518;0.0;0.0;0.10146700212011156;0.0035092688143878604;0.05423261445466404;0.36169741216040724;0.09368823010471868;0.1312306714139894;0.21171389962269732;0.18488314550749002;0.00917315387069111;0.0021694219853768747;0.008399596924495786;0.11087787269422332;0.004111641902504804;0.05644513058472554;0.0037111947431397166;0.0725445949052141;0.0;0.8817290311389223;3.607255036843193;0.004974139521864808;0.17916995436936353;0.031075489389982093;0.01897026336845803;0.3093319675330814;0.002982312168552502;0.02526187034191383;3.5681340127596153;0.004039621004377494;0.002212411038666573;0.008786817010782454;0.0;0.46895047599726997;0.003349430674478923;0.0;2.3733026579023835;0.6443618315539374;0.0;0.006475374835897765;0.0;0.006008634603393458;1.1355138610995945;0.7157621652374305;0.5309196170885288;0.5027143217760909;0.07986121025824713;0.15481410305516527;0.0;0.0037248404463846824;1.5653183952568535;0.257563545741353;0.14549853739350407;0.0037266764451472276;2.3666859917967447;2.524754746252591;0.11564985194658796;0.5620400784323778;0.6408386201669614;0.07506087835165098;0.00982993863139319;1.2797566272339156;0.0;0.4902626175183857;0.2300424131352877;0.08377584035042746;0.8913063528821712;0.006815015425564038;0.41547240582020895;0.03722049485727259;0.10000714876205223;0.20255875923836694;0.0;0.0;0.43258802812575;0.45881957574634863;0.1724775218922548;0.0;0.004159595587171905;0.46181502455310247;0.0;0.01946301213871126;0.0;0.04163054471218133;0.0640535317731171;0.031655714974925;0.0;0.48159795289392926;0.018275703433940485;0.1480795468203296;0.47826710020218477;0.006053031568772657;0.004612824350048707;0.0;0.0;0.12052782891673472;1.6207120461199533;0.0;0.0966141799324246;0.04264014327112208;0.0453881627387262;0.007546578788777645;0.006375674516215935;0.0;0.0;0.13159173389687673;0.09952508026146553;0.09496679901690358
reasoning;5.923575953741688;0.5609415531338041;4.080983396348018;1.136795608082792;0.0;17.886343185145048;8.251462682473205;14.30170467279168;0.8047078792526211;2.355304594667113;5.452081048637816;6.788341137108237;10.44913112237595;4.221079551487233;16.50039791610897;34.78509080513952;6.015090338640874;2.7021939072482075;1.0892155590495314;14.973662808127964;7.977157303045409;0.07076459737649085;1.5518439468283316;1.743296246620708;0.06146627904328233;0.04865126633048732;0.9526770827530079;0.38958186588401134;0.11193432969445441;0.02062842492517587;0.015260507615655219;0.16142633717306723;0.06525595438940114;0.0;0.746993030479422;1.5920594668602486;0.9429450032520541;0.08865092484997217;0.8167261250120973;0.014146380174561475;0.002190256023695984;0.051483485708359866;0.2808558260207634;0.005925501227168261;0.09463917906885852;0.10050378152592121;1.1519957409002;0.0;2.8782512252596995;4.346576780430044;0.00801789209267923;0.43414644365354177;0.03299689902513595;0.18342425618604666;0.3473426859919286;0.01052449380101649;0.0;8.615650309685572;0.10095843524081566;0.0;0.0;0.0031017930755041965;0.7154519310793817;0.004762498761378413;0.0;9.816271591630992;0.2080591379742643;0.030671383606587218;0.0;0.0;0.011196446364009818;2.0981318477014774;2.933449559382335;2.4838680553993404;1.2582163879160342;0.09901299834005656;0.41064054017591883;0.014445799916424692;0.012164405986720691;7.5804515596598865;0.5177769196837408;0.4015082419331209;0.012101005090718448;11.15483550498969;6.259931129209321;0.7314403191561274;16.18917415719672;2.6607042440928645;0.18336438186369436;0.0694251881954835;3.4089813186140687;0.0077741602756994915;2.108028375906025;1.120240790085146;0.16991101309537915;6.394708806730994;0.05291956107229674;0.6916906390267634;0.13063310174367554;0.0920217013920345;0.5744021601195983;0.01617115568382877;0.007604837606985939;1.66985432060254;1.1943183468719387;0.3114682316954051;0.006562776232039577;0.0;1.831132870953699;0.015860299895347534;0.05285382548103487;0.024175473851486187;0.072041828609549;0.42818090048997026;0.0029259535279524303;0.013959076140742257;2.704548782009644;0.0;0.44849458872242;0.22569165121515192;0.017151895710007102;0.0035919438273802826;0.08032193289024989;0.025540472211939846;0.6288383738996199;5.053816583678339;0.0;0.3794250747834848;0.020788029134840486;1.3489532317115995;0.0;0.10942899680906369;0.009651592463163182;0.027975967343843576;0.04448010996294004;0.0020568687426584663;0.4337725092415168
inference;4.405016200314068;0.540461987147608;2.2121985024726385;0.7242935874812011;17.886343185145048;0.0;6.383084329084493;9.632675724348626;0.7378673342983527;1.31636523467204;3.6863581969815447;4.335621047593888;6.893516608169138;2.535989743384085;8.890014187083958;20.314292367038092;4.04617725511206;2.755540851747702;0.854021760077979;11.782493829230683;4.54294415871011;0.04626755673973522;0.6687602563473013;1.053570740372079;0.04716544826009152;0.025066278244295026;0.8498851238720413;0.2307974543571263;0.11767100381183468;0.013570632358703896;0.00547996624351191;0.07799214222533662;0.005915399551262303;0.0;0.9421409757453757;0.7107199500014928;0.4809116076830865;0.06245829798063879;0.8919866508783102;0.0;0.0;0.030861329862481454;0.1540957591949072;0.007010513136813953;0.02813803913672169;0.009805335357886892;0.4509073434594327;0.0;1.9515606635676401;3.5064149818634123;0.01036259171440505;0.7574736935026516;0.004587349021359836;0.07184926143725615;0.3079311986009973;0.0;0.019045028063583717;7.178533656388127;0.37547434702126836;0.0;0.0;0.0;0.7579927944792452;0.0;0.0;7.603203709698279;0.3356898253574854;0.00591519257074994;0.0;0.0;0.0;1.7015517065972416;3.218351896051417;1.942289216439931;0.7466479924377675;0.07681503430029518;0.22839645545548123;0.011646819280339489;0.01608307455427813;5.426703385913561;0.26199802261867106;0.24266537525784904;0.015937393387910583;8.242550687352603;4.498505067060717;0.5985601774346846;14.430840619005986;1.660847073549486;0.07769254893768776;0.03329146855635686;3.253320110519428;0.0;2.1499919816578243;0.7745832349430476;0.35889104203395544;4.563352551147341;0.03372233483267757;0.992871706746566;0.08174934910165668;0.05922611863200538;0.2980235684509606;0.01051118591209064;0.013008972781166096;0.798789987949939;0.7132580239667732;0.3378036815336088;0.011055408270167032;0.0;0.8021498707585665;0.01549214114412655;0.024539611387914516;0.02468947656333878;0.08101001118087518;0.623667362882527;0.0024879009031086893;0.00864352340338151;1.4279414737616314;0.0;0.3462217388919595;0.15087531941515991;0.0;0.0;0.012180638428352398;0.020842381469843886;0.34140604143107617;4.348626556686333;0.0;0.3961935338643958;0.011443747550279418;1.9764970750786333;0.0;0.01801242494442152;0.008037120776774875;0.0;0.023193180352135665;0.0021286764554972588;0.2038157563903466
check;5.435647245326956;0.7020449421857334;2.841662749046062;3.0408607304642863;8.251462682473205;6.383084329084493;0.0;14.91661090528694;0.7421698509977126;2.3684105059582485;5.127177686330347;7.866937028233652;4.695496968767799;2.3372653521078424;11.813338615798436;32.53492008122017;6.836042114822658;3.283639407704297;0.8563130465657421;14.811934342549742;5.8873076251904655;0.023255138792662798;2.370262794855887;1.52230405693923;0.07578419752515188;0.07506853932107775;1.4716291366533913;0.43925291651133724;0.6042793619134832;0.00680161952238679;0.04647394123401731;0.21415669268409243;0.06143553202463569;0.02306508261618249;1.3914873865409072;0.7368007176317968;0.6037470519933603;0.08878995671555101;1.5910760778691082;0.05176930664581175;0.02037847864848056;0.335123408605429;0.22407843657666823;0.0026148102866416457;0.2337364354245167;0.10482848367219183;0.46999339489841935;0.0;3.63322516250289;8.51674166084433;0.07919785327967016;1.0520621321873003;0.2720873885176339;0.06502081984554943;0.497872583661759;0.017750753086526933;0.0;13.695331305623375;0.09259016831226621;0.009719738231534875;0.015430015960475994;0.0;0.4881134762411516;0.2886751345948129;0.027756369082668444;14.029401808051748;0.7138573424184215;0.049875466805381644;0.032009219983223994;0.020860513166591616;0.05581455721859476;3.5892626108772103;2.7370554517853596;3.217813357146748;1.153162394960493;0.15267006942978228;0.6442530843610382;0.013094570021973102;0.008426579847810967;6.892729509120903;0.4889826758519717;0.3546313924625574;0.0030055247239000925;10.970733486092488;6.361348162482752;0.5922957054416943;7.447453763892243;3.173126090039402;0.41109329695919883;0.014989996684919536;5.738356012370429;0.0;3.471743763289956;1.8950093129738363;0.3693869349740011;5.81830822136005;0.1603166482107321;1.1931352806136823;0.10002323390442935;0.10099010432748673;0.5233079100620803;0.015134208189934804;0.010937620164944128;1.2430533308751457;3.121168483566376;0.4928469259570089;0.010789540354888822;0.03186264939385831;1.4814485576142065;0.012525903524423274;0.028891091944822214;0.028326793353025244;0.0065209225253894925;1.1471385826590441;0.04091063651229534;0.0;1.241672170761814;0.0;0.5252984175447847;0.8034522807875121;0.03450327796711771;0.03072918195223615;0.0;0.0;0.39395832768912736;7.465424136348629;0.06772854614785964;0.13684714921369387;0.013289204374654886;1.8112416232657695;0.25632629769436854;0.16191914037515867;0.005904356512975529;0.02660051273415972;0.7535798914915915;0.022752887674738674;0.6619334258889478
development;19.457262804621447;1.4168749723088363;9.961163424560821;7.751475911386322;14.30170467279168;9.632675724348626;14.91661090528694;0.0;2.446159250821959;7.889843226657627;18.381474089196733;14.06880535357744;15.645040718912162;7.177016979674209;27.89574478706652;106.58954055310136;20.986217105458095;9.811799110510611;3.4796931543813825;37.30032285423314;27.249614562324304;0.0670737251866024;7.366256402868358;5.409656688510051;0.4981484718975382;0.0946889333137472;3.5974196245494996;1.4251283772823382;0.8153669224276332;0.0;0.0;0.5617116202415118;0.09157395209867285;0.07860617705026542;4.049459113935846;1.9874280363783223;1.214775167495847;0.9086287930651152;3.1965616421867558;0.3811762683281517;0.026518576139190998;0.0752002939371185;1.159552405649371;0.09267372169163737;0.6711447572609239;0.2581988897471611;1.4020164795965486;0.037011660509880265;15.823963281844959;15.434137096699148;0.10575535682350036;4.749308832152798;0.37828443198525147;0.13079017809805465;1.5158681368788238;0.22126821737901803;0.027703063158526546;28.107357166368725;0.04469769264561399;0.015973951748802794;0.278480263152761;0.0;1.9897922494016866;0.022721405353294154;0.11952286093343936;21.184870705347976;1.3739232936448467;0.11785113019775793;0.04410810913912309;0.030570892025787156;0.09811091687797999;5.3795425395204335;7.554096677959177;5.007382681307183;4.509469263129756;0.68031376144603;1.5068392241290471;0.0;0.02329996062309982;15.457545288095172;1.944800642183997;1.1594218109760737;0.018371058252118568;21.230805359435177;22.090104625372273;2.557212318073117;22.586023331515364;7.245369741256964;0.7681462990436375;0.08722325187624863;11.475335356367875;0.05455136919305208;9.128192905452812;3.0336069198656097;0.5563400255048547;10.459151245120138;0.1022005296989394;2.9184753392271268;0.24891788545277224;0.15472625597928663;1.7202357060680415;0.04481107149482209;0.014126604895553455;4.080968221929335;4.206056664993799;1.8429104553882723;0.03973159407897393;0.01250977708401336;6.114968682374919;0.11608577689101776;0.11338253641164713;0.2917299829957891;0.30365766054142723;1.2113240129592397;0.020528212319963927;0.0;3.7755670706746303;0.11043152607484653;1.1892472489820751;1.2671833285685499;0.20183155937933622;0.02398873872651183;0.0;0.0;1.5247202752216509;20.28138955015614;0.047836487323493986;0.27646280620124813;0.08866153441698962;2.1812659760950734;0.5907421921766625;0.13230596155141655;0.0;0.2824987119008364;1.7349399696849332;0.10727961166187426;2.2869097226922768
authoring;0.9757778933467138;0.05218835799671921;0.40583776498771046;0.12055374274103048;0.8047078792526211;0.7378673342983527;0.7421698509977126;2.446159250821959;0.0;0.6100396272826736;0.5241676824132961;0.3867862945341251;0.9284132193509823;0.26693990890076236;1.7772298746911657;5.401211642517007;0.8450358198586602;0.43746016179818537;0.27034407164963115;1.7889433957697218;0.9205303625184189;0.05322747594031577;0.1401792582011567;0.7022887685930634;0.22809385554838502;0.05967925474117253;0.2735450700042882;0.10287603766300113;0.0;0.01547883112963071;0.0;0.005825872335207269;0.0;0.0;0.14114402970348694;0.05846070121062643;0.1286052492502886;0.12153883121002705;0.14686334437090787;0.0;0.00210404654310159;0.001576649797926703;0.029189930277564884;0.0;0.0030455973866924165;0.010938928884083116;0.11369141698225785;0.0;0.8487370758784565;1.349454854097235;0.008494679915881945;0.13398717293261778;0.0;0.016703827619526525;0.0408388106045526;0.0;0.10206207261596577;1.9595458783339312;0.0;0.0;0.0;0.0;0.38923503277082805;0.0;0.0;2.147121862932079;0.10926715360241529;0.0;0.0;0.0;0.0;0.2568828521512755;0.6094536194230374;0.7210630512159899;0.2005746455075942;0.12459479484920484;0.02458441121560155;0.009338049201414409;0.06868028197434452;1.1197852816641876;0.07798505478692579;0.3485079117729883;0.0842151921066519;2.3785579126487733;3.0125080035450176;0.3478345369358724;1.6963422126338108;0.982316495598006;0.1512440210135773;0.0553001263609331;2.6096611443252864;0.0;0.24040116933001382;0.3553410099871914;0.04598247286715231;0.7507608841437168;0.02968556099268496;0.047873634952053386;0.11550104063068682;0.05571740142920242;0.1975127641138646;0.0;0.0;0.19716132984658574;0.5606457581789129;0.17078318336457318;0.01418637153026964;0.0;0.9896701762669524;0.012677569314990684;0.012411371694636693;0.009472823560945188;0.0;0.3250757486639963;0.0;0.0;0.2883883223632417;0.0;0.0;0.07435297098696929;0.0;0.0034902791483320296;0.0;0.0;0.04941611870897752;2.1366482359319825;0.0;0.0;0.1451270076646664;0.15727498632465292;0.0;0.0037693737181908192;0.009372025951925555;0.0;0.0;0.0;0.3025441138789217
navigation;3.564133043865161;0.26631816751382403;1.8580939237692689;0.8854856033929438;2.355304594667113;1.31636523467204;2.3684105059582485;7.889843226657627;0.6100396272826736;0.0;2.344586562562285;4.220557372273504;2.1222928073212923;1.2799376067884503;5.96779258409498;15.595648423228115;2.4756418706282255;1.2488426950946556;0.2571176551858665;6.018840565812866;2.085762535050816;0.0430844658527238;1.2435545197756528;0.4858773189772813;0.10607942104143878;0.011331490227483414;0.31367633502923514;0.23464382487488;0.04552382251933014;0.0;0.0;0.10308360344340431;0.023902578869517684;0.0;0.9771436177551008;0.27625710527693315;0.18749416303053237;0.0670147350543855;0.6726163634377008;0.0;0.0;0.040942393324866724;0.07558458862725237;0.005970909414438291;0.012576399392864441;0.0;0.20639929419109748;0.0;1.395628112121225;4.4937902942772885;0.007017587058225039;0.3911846839894966;0.0;0.04608219644432046;0.19592798279537485;0.0;0.0;5.177102721373784;0.009275974892418803;0.0;0.0;0.004992516832922944;0.01178265855489032;0.0;0.0;3.7894507624609037;0.5287241545916448;0.005438076392295353;0.006369168362239028;0.0;0.0;0.8301491831288842;1.5228351994621887;2.343150976204863;0.6368547482912258;0.10126216980526564;0.31216488787288704;0.0;0.0;2.770038123591342;0.1395896607126182;0.15104526751599162;0.0;4.5009595956483315;1.8244267313245461;0.33264778790583527;1.7604916389423866;1.9409954395927755;0.13514643697174394;0.0;3.0320189596412908;0.0;1.2664329043824976;0.6880153379098323;0.09297439911643116;1.9644886825602752;0.008022107300911184;0.9885042579799006;0.043240041315145514;0.020002980146920455;0.3389619731175971;0.0;0.004694473538679248;0.35934947606722384;1.4753622004999738;0.2267085553185065;0.0;0.02627034687463669;0.44649386149061054;0.004345034334162458;0.015367418460698775;0.0;0.0035733433755540363;0.14453705812796952;0.04399013905362901;0.0;0.6521333399745035;0.002613193821775099;0.0;0.19047911328301464;0.006227780189793668;0.004449457026956106;0.0;0.0;0.058925883668105423;2.855939633097404;0.0;0.0;0.0;0.12902659066752104;0.0;0.09999190003652778;0.0;0.0;0.0;0.0;0.9078993397965408
